SourceName,CECName,match_rule,source_lat,source_lon,cec_lat,cec_lon,dist_km,name_agrees,already_in_dict
SUMMIT,Summit - (PG&E),spatial,39.31945516117808,-120.37918428385689,39.3192799,-120.37883663,0.036,True,True
TAFT,Taft - Other,spatial,35.13623071502375,-119.48227773692136,35.13594121,-119.48201534,0.04,False,True
TRACY,Tracy - (PG&E),spatial,37.74813194950613,-121.41575105836796,37.74881349,-121.41600878,0.079,True,True
UKIAH,Ukiah - (PG&E),spatial,39.14297181783122,-123.19174687279155,39.14314457,-123.19180142,0.02,True,True
UKIAH,Ukiah - (PGE),spatial,39.14297181783122,-123.19174687279155,39.14418501,-123.1979865,0.555,True,True
UKIAH,Orchard Street,spatial,39.14297181783122,-123.19174687279155,39.14378583,-123.1988654,0.621,False,True
VICTOR,Victor - (PG&E),spatial,38.14519826927607,-121.1770973185347,38.14550095,-121.17756791,0.053,True,True
VICTOR,Unknown - 3653,spatial,38.14519826927607,-121.1770973185347,38.15484885,-121.1784366,1.079,False,True
VIEJO,Viejo - (PG&E),spatial,36.578607210500685,-121.90842396908974,36.57836651,-121.90840485,0.027,True,True
VIEJO,Unknown - 3570,spatial,36.578607210500685,-121.90842396908974,36.5660825,-121.91302351,1.452,False,True
WESTLEY,Westley - (PG&E),spatial,37.57919043551431,-121.20566160950838,37.57957288,-121.20594716,0.049,True,True
WHEATLAND,Wheatland - (PG&E),spatial,39.013259823908015,-121.41884454220936,39.01314211,-121.41860311,0.025,True,True
WHITNEY,Whitney - PG&E,spatial,38.02255800796905,-121.88567049158526,38.0224848,-121.88537446,0.027,True,True
WHITNEY,Unknown - 3800,spatial,38.02255800796905,-121.88567049158526,38.0140612,-121.87544446,1.302,False,True
WHITNEY,Loveridge Road,spatial,38.02255800796905,-121.88567049158526,38.03039528,-121.86940592,1.67,False,True
WHITNEY,Kirker,spatial,38.02255800796905,-121.88567049158526,38.02078399,-121.90594183,1.787,False,True
WHITNEY,Kirker Tap 2,spatial,38.02255800796905,-121.88567049158526,38.02044767,-121.90644736,1.835,False,True
WHITNEY,Pittsburg,spatial,38.02255800796905,-121.88567049158526,38.03681699,-121.89678284,1.86,False,True
WHITNEY,Columbia Steel,spatial,38.02255800796905,-121.88567049158526,38.02597928,-121.86329806,1.996,False,True
WRIGHT,Wright - (PG&E),spatial,37.01392488612878,-120.94478091254076,37.01340613,-120.94522042,0.07,True,True
WRIGHT,Padre Flats SW STA,spatial,37.01392488612878,-120.94478091254076,37.01325625,-120.96448722,1.751,False,True
