osm_display_name,osm_original_name,osm_operator,match_type,match_source,match_util,matched_name,dist_km,osm_lat,osm_lon,osm_id,osm_type
Oakland L Substation,Oakland L Substation,Pacific Gas and Electric Company,name,IOU,pge,OAKLAND L,,37.8103041,-122.2715752,91164872,way
Oakland X Substation,Oakland X Substation,Pacific Gas and Electric Company,name,IOU,pge,OAKLAND X,,37.8053861,-122.2312754,112306422,way
Oceano,Oceano,Pacific Gas and Electric Company,name,IOU,pge,OCEANO,,35.101535,-120.5810329,328033899,way
Pacifica Substation,Pacifica Substation,Pacific Gas and Electric Company,name,IOU,pge,PACIFICA,,37.5948646,-122.4888897,1280081494,way
Panoche Substation,Panoche Substation,Pacific Gas and Electric Company,name,IOU,pge,PANOCHE,,36.6523145,-120.5815969,93288988,way
Paradise Substation,Paradise Substation,Pacific Gas and Electric Company,name,IOU,pge,PARADISE,0.037,39.7606558,-121.61888,1256348450,way
Parkway Substation,Parkway Substation,Pacific Gas and Electric Company,name,IOU,pge,PARKWAY,,38.1381217,-122.2091136,33068400,way
Paso Robles,Paso Robles,Pacific Gas and Electric Company,name,IOU,pge,PASO ROBLES,,35.6156318,-120.6795071,170833620,way
Paul Sweet Substation,Paul Sweet Substation,,name,IOU,pge,PAUL SWEET,,36.9923448,-121.982231,42637019,way
Peabody Substation,Peabody Substation,Pacific Gas and Electric Company,name,IOU,pge,PEABODY,,38.2854584,-121.9705143,36250573,way
Pease Substation,Pease Substation,Pacific Gas and Electric Company,name,IOU,pge,PEASE,,39.1698803,-121.6610022,885906120,way
Penngrove Substation,Penngrove Substation,Pacific Gas and Electric,name,IOU,pge,PENNGROVE,,38.3155347,-122.6811305,1168128542,way
Perry,Perry,Pacific Gas and Electric Company,name,IOU,pge,PERRY,0.053,35.5709061,-121.0554628,194519256,way
Petaluma A Substation,Petaluma A Substation,Pacific Gas and Electric Company,name,IOU,pge,PETALUMA A,,38.2341942,-122.6362627,195463430,way
Petaluma C Substation,Petaluma C Substation,Pacific Gas and Electric Company,name,IOU,pge,PETALUMA C,,38.2391457,-122.6367512,282914601,way
Piercy Substation,Piercy Substation,,name,IOU,pge,PIERCY,,37.2689282,-121.7873391,119409662,way
Pittsburg Substation,Pittsburg Substation,Pacific Gas and Electric Company,name,IOU,pge,PITTSBURG,,38.0369134,-121.8959532,35732660,way
Placer Substation,Placer Substation,Pacific Gas and Electric Company,name,IOU,pge,PLACER,,38.9013375,-121.0878295,98111153,way
Placerville Substation,Placerville Substation,Pacific Gas and Electric,name,IOU,pge,PLACERVILLE,,38.7309319,-120.783622,149814841,way
Plainfield Substation,Plainfield Substation,Pacific Gas and Electric Company,name,IOU,pge,PLAINFIELD,,38.6191848,-121.7942781,394806112,way
Pleasant Grove Substation,Pleasant Grove Substation,Pacific Gas and Electric Company,name,IOU,pge,PLEASANT GROVE,,38.8221004,-121.3065142,37121892,way
Pleasant Grove Substation,Pleasant Grove Substation,,name,IOU,pge,PLEASANT GROVE,,38.8220962,-121.3064317,188161327,way
Plymouth Substation,Plymouth Substation,Pacific Gas and Electric Company,name,IOU,pge,PLYMOUTH,,38.4807756,-120.8450034,1154090289,way
Putah Creek Substation,Putah Creek Substation,Pacific Gas and Electric Company,name,IOU,pge,PUTAH CREEK,,38.5230579,-121.9944302,34229001,way
Ralston Substation,Ralston Substation,Pacific Gas and Electric Company,name,IOU,pge,RALSTON,,37.5113456,-122.3401624,24657439,way
Red Bluff Substation,Red Bluff Substation,Southern California Edison,name,IOU,pge,RED BLUFF,,33.6988312,-115.3128761,507591114,way
Red Bluff Substation,Red Bluff Substation,,name,IOU,pge,RED BLUFF,,40.1825409,-122.2447371,1091125495,way
Ridge Substation,Ridge Substation,Pacific Gas and Electric Company,name,IOU,pge,RIDGE,,37.8850157,-122.255079,1417656191,way
Rincon Substation,Rincon Substation,Pacific Gas and Electric Company,name,IOU,pge,RINCON,0.018,38.4900526,-122.6661381,746876900,way
Ripon Substation,Ripon Substation,Pacific Gas and Electric Company,name,IOU,pge,RIPON,,37.7555913,-121.146377,837863258,way
Rising River Substation,Rising River Substation,,name,IOU,pge,RISING RIVER,,40.9290335,-121.5444409,507821441,way
Riverbank Substation,Riverbank Substation,Pacific Gas and Electric Company,name,IOU,pge,RIVERBANK,,37.7691581,-120.9077251,1272854599,way
Rob Roy Substation,Rob Roy Substation,,name,IOU,pge,ROB ROY,,36.9791983,-121.8672269,55143820,way
Rocklin Substation,Rocklin Substation,Pacific Gas and Electric,name,IOU,pge,ROCKLIN,,38.7879615,-121.2316975,96341992,way
Rossmoor Substation,Rossmoor Substation,Pacific Gas and Electric,name,IOU,pge,ROSSMOOR,,37.8646646,-122.0804497,606129587,way
Russell Substation,Russell Substation,PGE,name,IOU,pge,RUSSELL,,37.8544962,-122.2795273,12790430622,node
Russell Substation,Russell Substation,NV Energy,name,IOU,pge,RUSSELL,,36.0850662,-115.0861424,27786664,way
Salinas Substation,Salinas Substation,,name,IOU,pge,SALINAS,,36.6820576,-121.6514791,24397013,way
San Bruno Substation,San Bruno Substation,Pacific Gas and Electric Company,name,IOU,pge,SAN BRUNO,,37.6209528,-122.4250671,607516379,way
San Jose Substation B,San Jose Substation B,Pacific Gas and Electric Company,name,IOU,pge,SAN JOSE B,,37.3409379,-121.9014665,24168995,way
San Leandro U Substation,San Leandro U Substation,Pacific Gas and Electric Company,name,IOU,pge,SAN LEANDRO U,,37.7105291,-122.1486694,35656716,way
San Mateo Substation,San Mateo Substation,Pacific Gas and Electric Company,name,IOU,pge,SAN MATEO,0.156,37.5830081,-122.3192431,24294714,way
San Ramon Substation,San Ramon Substation,Pacific Gas and Electric Company,name,IOU,pge,SAN RAMON,,37.744673,-121.9364756,66376512,way
Sanger Substation,Sanger Substation,Pacific Gas and Electric Company,name,IOU,pge,SANGER,,36.7083453,-119.6112851,182622208,way
Santa Teresa Substation,Santa Teresa Substation,Pacific Gas and Electric Company,name,IOU,pge,SANTA TERESA,,37.2386068,-121.7907606,1059210744,way
Saratoga Substation,Saratoga Substation,Pacific Gas and Electric Company,name,IOU,pge,SARATOGA,,37.2809465,-122.0153775,31369697,way
Semitropic Substation,Semitropic Substation,,name,IOU,pge,SEMITROPIC,,35.6008203,-119.437539,761043373,way
Serramonte Substation,Serramonte Substation,Pacific Gas and Electric Company,name,IOU,pge,SERRAMONTE,,37.6509286,-122.4541665,38159840,way
Shingle Springs Substation,Shingle Springs Substation,Pacific Gas and Electric,name,IOU,pge,SHINGLE SPRINGS,,38.6592948,-120.9472318,180839419,way
Sneath Lane Substation,Sneath Lane Substation,Pacific Gas and Electric Company,name,IOU,pge,SNEATH LANE,,37.6219397,-122.4467361,24314687,way
Sobrante Substation,Sobrante Substation,Pacific Gas and Electric Company,name,IOU,pge,SOBRANTE,,37.9054592,-122.2082408,33106247,way
Solano Substation,Solano Substation,Pacific Gas and Electric,name,IOU,pge,SOLANO,,37.8908861,-122.292225,30877246,way
Soledad Substation,Soledad Substation,,name,IOU,pge,SOLEDAD,,36.4301332,-121.3325147,1273559791,way
Stagg Substation,Stagg Substation,Pacific Gas and Electric Company,name,IOU,pge,STAGG,,37.9922986,-121.3485086,38311176,way
Stanislaus,Stanislaus,,name,IOU,pge,STANISLAUS,,38.1381557,-120.3702061,1485095202,way
Stelling Substation,Stelling Substation,Pacific Gas and Electric Company,name,IOU,pge,STELLING,,37.3360204,-122.0431687,396269147,way
Stuart Substation,Stuart Substation,Pacific Gas and Electric Company,name,IOU,pge,STUART,0.014,37.858023,-122.2685966,313027827,way
Suisun Substation,Suisun Substation,Pacific Gas and Electric Company,name,IOU,pge,SUISUN,,38.2451302,-122.0412616,106610038,way
Swift Substation,Swift Substation,Pacific Gas and Electric Company,name,IOU,pge,SWIFT,,37.3224752,-121.7970091,119408726,way
