name,owner_raw,type,status,latitude,longitude,county,city
Unknown - 4365,PG&E NGBA,TAP,Operational,39.09753884,-121.33614799,Yuba County,Beale AFB
Unknown - 4366,PG&E GBA,TAP,Operational,37.71088098,-120.78135947,Stanislaus County,
Geysers Tap  8,PG&E NGBA,TAP,Operational,38.78678845,-122.76744469,Sonoma County,
Unknown - 4370,PG&E NGBA,TAP,Operational,38.60689291,-121.36462985,Sacramento County,Arden-Arcade
Rincon Tap,PG&E NGBA,TAP,Operational,38.49698859,-122.66763532,Sonoma County,
Unknown - 4374,PG&E FRESNO,TAP,Operational,36.30543859,-119.79306252,Kings County,Lemoore
Unknown - 4375,PG&E GBA,TAP,Operational,37.63841695,-121.04913811,Stanislaus County,
Unknown - 4376,PG&E NGBA,TAP,Operational,38.62749539,-121.47538441,Sacramento County,Sacramento
Unknown - 4379,PG&E FRESNO,TAP,Operational,37.69207967,-120.44059019,Tuolumne County,
Unknown - 4381,PG&E NGBA,TAP,Operational,38.71426709,-121.40150703,Sacramento County,Antelope
Unknown - 4382,PG&E KERN,TAP,Operational,35.55776586,-120.68912733,San Luis Obispo County,
Unknown - 4383,PG&E NGBA,TAP,Operational,39.0974272,-121.3367581,Yuba County,Beale AFB
Unknown - 4384,PG&E NGBA,TAP,Operational,38.65794991,-121.38368284,Sacramento County,North Highlands
Unknown - 4385,PG&E KERN,TAP,Operational,35.10895969,-119.10955113,Kern County,
Zamora Tap,PG&E NGBA,TAP,Operational,38.75000493,-121.85818675,Yolo County,
Unknown - 4387,PG&E NGBA,TAP,Operational,40.41538571,-120.73827271,Lassen County,
Unknown - 4389,PG&E GBA,TAP,Operational,37.94536346,-121.32120532,San Joaquin County,Stockton
Kenneth-Garfield Tap,PG&E NGBA,TAP,Operational,38.62114861,-121.33673772,Sacramento County,Carmichael
Unknown - 4392,PG&E NGBA,TAP,Operational,38.63176991,-121.44616883,Sacramento County,Sacramento
Pit 5 Tap,PG&E NGBA,TAP,Operational,40.92437085,-121.93050414,Shasta County,
Unknown - 4394,PG&E FRESNO,TAP,Operational,36.91653042,-120.11048179,Madera County,
Unknown - 4396,PG&E GBA,TAP,Operational,36.6867701,-121.67199802,Monterey County,Salinas
Unknown - 4398,PG&E GBA,TAP,Operational,37.90332659,-122.29351865,Contra Costa County,El Cerrito
Unknown - 4400,PG&E NGBA,TAP,Operational,38.43700829,-122.74265797,Sonoma County,Santa Rosa
Kasson Tap 2,PG&E GBA,TAP,Operational,37.74538798,-121.33933395,San Joaquin County,
Unknown - 4402,PG&E NGBA,TAP,Operational,40.59059976,-122.30835666,Shasta County,
Unknown - 4404,PG&E GBA,TAP,Operational,37.31571312,-121.01282665,Stanislaus County,Newman
Unknown - 4405,PG&E NGBA,TAP,Operational,38.58378618,-121.56160712,Yolo County,West Sacramento
Unknown - 4406,PG&E FRESNO,TAP,Operational,36.6620077,-120.09722379,Fresno County,
Unknown - 4407,PG&E GBA,TAP,Operational,36.51038847,-121.44904404,Monterey County,Gonzales
Melones Tap 2,PG&E GBA,TAP,Operational,37.98517391,-120.64489833,Calaveras County,Copperopolis
PGE BOTTLE ROCK 230kV,PG&E,SUBSTATION ASSUMED,,38.842615,-122.7639866,Lake,Cobb
Monta Vista,PG&E,SUBSTATION,Operational,37.32391007,-122.07313689,Santa Clara County,Cupertino
Mt. View - (PG&E),PG&E,SUBSTATION,Operational,37.3826034,-122.06970633,Santa Clara County,Mountain View
San Jose Station A,PG&E,SUBSTATION,Operational,37.32816036,-121.90239191,Santa Clara County,San Jose
San Jose Station B,PG&E,SUBSTATION,Operational,37.34095907,-121.90151191,Santa Clara County,San Jose
Green Valley - (PG&E),PG&E,SUBSTATION,Operational,36.95193511,-121.7602839,Santa Cruz County,Interlaken
Burney Forest Power,PG&E,SUBSTATION,Operational,40.87795875,-121.71509148,Shasta County,
Cottonwood - (PG&E),PG&E,SUBSTATION,Operational,40.39787486,-122.2642114,Shasta County,Cottonwood
Round Mt.,PG&E,SUBSTATION,Operational,40.8077762,-121.93584909,Shasta County,Round Mountain
Vaca-Dixon & Gc Yard,PG&E,SUBSTATION,Operational,38.40116261,-121.9207726,Solano County,
Rincon - (PG&E),PG&E,SUBSTATION,Operational,38.4900627,-122.66605899,Sonoma County,
