utility,substation_name,util_lat,util_lon,basin_lat,basin_lon
pge,CONTRA COSTA,37.99867901702416,-121.78318387764637,37.99955467869259,-121.78282309756756
pge,LIVE OAK,39.27647099774993,-121.66045789355064,35.49595251962872,-119.0094663369496
pge,RANDOLPH,37.7145484958375,-122.46933508414892,,
pge,DAVIS,38.54537389882344,-121.7337412213476,38.52911014688864,-121.7513986700727
pge,MONTAGUE,37.4030689299594,-121.90562357845783,37.403332697501774,-121.90599044132966
pge,PANOCHE,36.65147106321651,-120.58017074552066,36.65353625161828,-120.5817560649944
pge,WHITNEY,38.02255800796905,-121.88567049158526,,
pge,JARVIS,37.59533398503197,-122.01754403270029,37.59531055787571,-122.01749144961028
pge,WHEATLAND,39.013259823908015,-121.41884454220936,39.01314723169966,-121.418616320747
pge,MERCED,37.273105730126126,-120.48710262742296,37.27330800181223,-120.4872390057089
pge,SAN JOSE A,37.328168501922605,-121.90253619243413,37.328165308040944,-121.90240499218696
pge,SAN JOSE B,37.34102949703376,-121.901895980367,37.34096401468957,-121.9015250001308
pge,LOCKHEED NO 1,37.4097706587578,-122.03110865958986,,
pge,FITCH MOUNTAIN,38.606826614556056,-122.85303132509898,38.60655700780188,-122.85285800306566
pge,ROUGH AND READY ISLA,37.94947516937854,-121.3463583310698,37.94966800711843,-121.34642298218624
pge,RESEARCH,37.7823591848183,-121.96730288036213,37.78241595866594,-121.96766243161322
pge,DEL MAR,38.798905518358,-121.22132249121611,38.79881551672975,-121.2213126039165
pge,RALSTON,37.511320391790726,-122.33975670219075,37.51131388825796,-122.34012499701088
pge,21ST AVENUE,37.75449989411368,-122.47806162171672,,
pge,EL CERRITO G,37.91642199870226,-122.30263855024612,37.9162522425779,-122.30222220257755
pge,ACTON,37.70866425535986,-122.45185131815214,,
pge,MIWUK,38.05297067526115,-120.2170845064534,38.052894384768784,-120.2171349558828
pge,CONCORD NO 1,37.97581268089191,-122.02429744721525,,
pge,COUNTRY CLUB,37.97960932789654,-121.31570780413264,37.97921028718587,-121.31639202851346
pge,GREEN VALLEY,36.952075206180815,-121.7601230620376,36.95194003570028,-121.76029691983965
pge,BELMONT,37.52392507929761,-122.2655656379043,37.52346570103678,-122.26523211220224
pge,MC CALL,36.6103052673948,-119.63836125979108,36.61082900597876,-119.63921063456868
pge,8TH AVENUE,37.80064538752543,-122.24202081133105,,
