name,owner_raw,type,status,latitude,longitude,county,city
Hillcrest 4,SDG&E,SUBSTATION,,32.74677795,-117.16448439,San Diego County,
Jennings,SDG&E,SUBSTATION,,32.71876607,-117.23932609,San Diego County,
Lindbergh,SDG&E,SUBSTATION,,32.7277105,-117.18076369,San Diego County,
Station C 14,SDG&E,SUBSTATION,,32.71965347,-117.16165627,San Diego County,
Bramson,SDG&E,SUBSTATION,,32.75433113,-117.12242381,San Diego County,
Del Rio,SDG&E,SUBSTATION,,32.743987,-116.96832208,San Diego County,
Campo Road,SDG&E,SUBSTATION,,32.75181916,-117.00121685,San Diego County,
Chollas 1,SDG&E,SUBSTATION,,32.74413169,-117.04585748,San Diego County,
Chollas 2,SDG&E,SUBSTATION,,32.7441317,-117.04570984,San Diego County,
Downtown,SDG&E,SUBSTATION,,32.70834172,-117.1484079,San Diego County,
Wabash 2,SDG&E,SUBSTATION,,32.72978821,-117.1299119,San Diego County,
Station C 17,SDG&E,SUBSTATION,,32.71965235,-117.16152688,San Diego County,
Harbor 5,SDG&E,SUBSTATION,,32.71510872,-117.16843731,San Diego County,
Kramer - SDG&E,SDG&E,SUBSTATION,,32.77700849,-117.17037537,San Diego County,
Highland 3,SDG&E,SUBSTATION,,32.69379943,-117.11220538,San Diego County,
Upas,SDG&E,SUBSTATION,,32.74143502,-117.12950206,San Diego County,
Salt Works,SDG&E,SUBSTATION,,32.60114775,-117.09256773,San Diego County,
Park,SDG&E,SUBSTATION,,32.73114795,-117.14555774,San Diego County,
Fairmount 3,SDG&E,SUBSTATION,,32.76319836,-117.09670496,San Diego County,
Fairmount 1,SDG&E,SUBSTATION,,32.76300396,-117.0967076,San Diego County,
Whitney - SDG&E,SDG&E,SUBSTATION,,32.63149031,-117.07357147,San Diego County,
Middletown 3,SDG&E,SUBSTATION,,32.73147533,-117.16999358,San Diego County,
Middletown 1,SDG&E,SUBSTATION,,32.73145837,-117.17004819,San Diego County,
Yerba Santa,SDG&E,SUBSTATION,,32.77393988,-117.09126664,San Diego County,
Temecula,SDG&E,SUBSTATION,,33.4305192,-117.08903653,Riverside County,
