name,owner_raw,type,status,latitude,longitude,county,city
Morwind,SCE,SUBSTATION,Operational,35.0587408,-118.26990485,Kern County,
Eastwind,SCE,SUBSTATION,Operational,35.04467093,-118.27629981,Kern County,
Westwind - (SCE),SCE,SUBSTATION,Operational,35.04379469,-118.27637848,Kern County,
Mojave 17,SCE,SUBSTATION,Operational,35.04603705,-118.28087109,Kern County,
Winderness,SCE,SUBSTATION,Operational,35.03860146,-118.29288667,Kern County,
Station 54 ,SCE,SUBSTATION,Operational,34.10139432,-118.28773333,Los Angeles County,Los Angeles
Spadra,SCE,SUBSTATION,Operational,34.04077144,-117.82182364,Los Angeles County,Pomona
Puente Hills,SCE,SUBSTATION ASSUMED,Operational,34.02406714,-118.02418501,Los Angeles County,
Coidgen,SCE,SUBSTATION ASSUMED,Operational,34.01866929,-118.20245018,Los Angeles County,Los Angeles
Icegen,SCE,SUBSTATION,Operational,33.87574721,-118.24909597,Los Angeles County,Carson
Redondo 1,SCE,SUBSTATION,Operational,33.85263428,-118.39381072,Los Angeles County,Redondo Beach
Outfall,SCE,SUBSTATION,Operational,33.80371549,-118.28213392,Los Angeles County,Carson
Shell Los Angeles,SCE,SUBSTATION,Operational,33.79405466,-118.23533842,Los Angeles County,Los Angeles
Hanjin,SCE,SUBSTATION,Operational,33.77513739,-118.22785693,Los Angeles County,Long Beach
Unknown - 3609,SCE Northern,SUBSTATION,Operational,35.35859355,-118.92552417,Kern County,East Niles
Unknown - 3610,SCE Metro,RISER,Operational,33.86966015,-117.96808987,Orange County,Fullerton
Unknown - 3612,SCE Eastern,SUBSTATION,Operational,33.65925898,-114.98268414,Riverside County,
Unknown - 3614,SCE Metro,RISER,Operational,34.05630438,-118.13404503,Los Angeles County,Monterey Park
Unknown - 3615,SCE Eastern,NOT AVAILABLE,Operational,34.14593649,-116.17369205,San Bernardino County,Twentynine Palms
Unknown - 3616,SCE Metro,DEAD END,Operational,34.07739333,-117.54274868,San Bernardino County,Rancho Cucamonga
Unknown - 3617,SCE Northern,SUBSTATION,Operational,35.03007522,-118.2199471,Kern County,Mojave
SEGS 6,SCE,SUBSTATION,Operational,35.02029175,-117.56623769,San Bernardino County,
Unknown - 3619,SCE Eastern,SUBSTATION,Operational,34.0118681,-117.44080644,Riverside County,Jurupa Valley
SEGS 7,SCE,SUBSTATION,Operational,35.01550578,-117.5657222,San Bernardino County,
Unknown - 3620,SCE Northern,SUBSTATION,Operational,34.8473637,-118.43105692,Kern County,
SEGS 5,SCE,SUBSTATION,Operational,35.01903865,-117.55549822,San Bernardino County,
SEGS 4,SCE,SUBSTATION,Operational,35.01184781,-117.55565403,San Bernardino County,
SEGS 3,SCE,SUBSTATION,Operational,35.00735218,-117.55572878,San Bernardino County,
Unknown - 3623,SCE Metro,RISER,Operational,34.18451913,-118.32598979,Los Angeles County,Burbank
Westend,SCE,SUBSTATION,Operational,35.70414674,-117.39334816,San Bernardino County,
Unknown - 3624,SCE Northern,SUBSTATION,Operational,34.16542215,-118.5256027,Los Angeles County,Los Angeles
Trona - South,SCE,SUBSTATION,Operational,35.76487556,-117.37543346,San Bernardino County,Searles Valley
Unknown - 3626,SCE Metro,RISER,Operational,34.00572246,-117.83047146,Los Angeles County,Industry
Unknown - 3627,SCE Northern,NOT AVAILABLE,Operational,34.32153116,-118.97763267,Ventura County,
Unknown - 3628,SCE Northern,SUBSTATION,Operational,34.82337251,-118.43290425,Kern County,
Iron Mt.,SCE,SUBSTATION,Operational,34.14883405,-115.12193589,San Bernardino County,
Unknown - 3629,SCE Metro,RISER,Operational,33.8544638,-117.87493558,Orange County,Anaheim
Unknown - 3630,SCE Metro,RISER,Operational,33.81781602,-117.93884096,Orange County,Anaheim
Unknown - 3631,SCE Metro,RISER,Operational,33.97426416,-118.41367979,Los Angeles County,Los Angeles
Unknown - 3632,SCE Northern,SUBSTATION,Operational,34.81985487,-118.40866621,Kern County,
SEGS 2,SCE,SUBSTATION,Operational,34.86159299,-116.82803248,San Bernardino County,
Unknown - 3634,SCE Metro,RISER,Operational,33.91103086,-117.82596228,Orange County,"Los Angeles--Long Beach--Anaheim, CA"
Unknown - 3635,SCE Eastern,DEAD END,Operational,34.04309409,-117.24374098,San Bernardino County,Loma Linda
Rivertex,SCE,SUBSTATION,Operational,34.60604522,-117.33507767,San Bernardino County,
Unknown - 3637,SCE Eastern,NOT AVAILABLE,Operational,34.0907447,-116.42274507,San Bernardino County,Yucca Valley
Black Mt.,SCE,SUBSTATION,Operational,34.62283668,-117.10162407,San Bernardino County,
Southcap,SCE,SUBSTATION,Operational,34.62129501,-117.10216852,San Bernardino County,
Southdown,SCE,SUBSTATION ASSUMED,Operational,34.62152279,-117.09982129,San Bernardino County,
Pluess,SCE,SUBSTATION,Operational,34.38305043,-116.9411691,San Bernardino County,
Unknown - 3639,SCE Eastern,SUBSTATION,Operational,33.17665388,-115.60574388,Imperial County,
Soport,SCE,SUBSTATION,Operational,34.56599503,-117.31248237,San Bernardino County,Victorville
Unknown - 3640,SCE Metro,SUBSTATION,Operational,33.85870147,-118.30940138,Los Angeles County,Torrance
Unknown - 3641,SCE Eastern,NOT AVAILABLE,Operational,33.91792607,-116.73527608,Riverside County,
Unknown - 3642,SCE Metro,RISER,Operational,33.81795315,-117.90597889,Orange County,Anaheim
Unknown - 3645,SCE Metro,NOT AVAILABLE,Operational,33.61642117,-117.76224093,Orange County,
Santa Ana 1,SCE,SUBSTATION,Operational,34.14563311,-117.05909351,San Bernardino County,
Greenspot,SCE,SUBSTATION,Operational,34.09852504,-117.10573033,San Bernardino County,Highland
Crafton Hills,SCE,SUBSTATION,Operational,34.07420067,-117.07747969,San Bernardino County,Mentone
Santa Ana 3,SCE,SUBSTATION,Operational,34.10723319,-117.09908918,San Bernardino County,
Purewater,SCE,SUBSTATION,Operational,34.07806433,-117.18887588,San Bernardino County,Redlands
Unknown - 3650,SCE Metro,DEAD END,Operational,33.93905214,-117.91598088,Orange County,Brea
Unknown - 3651,SCE NOL,SUBSTATION,Operational,34.98389964,-117.89114229,Kern County,
Mountainview,SCE,SUBSTATION ASSUMED,Operational,34.07946794,-117.24037656,San Bernardino County,Redlands
Unknown - 3652,SCE Northern,SUBSTATION,Operational,35.84791639,-119.07092038,Tulare County,
Agua Mansa,SCE,SUBSTATION,Operational,34.0417927,-117.36084799,San Bernardino County,Colton
Mill Creek 3,SCE,SUBSTATION,Operational,34.08802175,-117.03964984,San Bernardino County,
OLS Energy Chino,SCE,SUBSTATION,Operational,33.98991744,-117.68063824,San Bernardino County,Chino
Pan Aero,SCE,SUBSTATION,Operational,33.95138119,-116.66540755,Riverside County,Whitewater
Seawind,SCE,SUBSTATION,Operational,33.94998674,-116.6668381,Riverside County,
Unknown - 2470,SCE,SUBSTATION,Operational,33.91601484,-116.71834574,Riverside County,
Renwind,SCE,SUBSTATION,Operational,33.91775341,-116.64279365,Riverside County,Palm Springs
Venwind,SCE,SUBSTATION,Operational,33.93718743,-116.61571029,Riverside County,
Unknown - 3656,SCE Eastern,SUBSTATION,Operational,33.19128688,-115.54501328,Imperial County,
Sanwind,SCE,SUBSTATION ASSUMED,Operational,33.92624507,-116.61479366,Riverside County,
Tiffanywind,SCE,SUBSTATION,Operational,33.92065555,-116.58114348,Riverside County,
Buckwind,SCE,SUBSTATION,Operational,33.92175895,-116.5796992,Riverside County,Palm Springs
Unknown - 3658,SCE Northern,SUBSTATION,Operational,34.18855229,-119.22458702,Ventura County,Oxnard
Terawind,SCE,SUBSTATION,Operational,33.93160895,-116.56896866,Riverside County,
Altwind,SCE,SUBSTATION,Operational,33.90732564,-116.57982699,Riverside County,Palm Springs
Mountwind,SCE,SUBSTATION,Operational,33.90720896,-116.57932145,Riverside County,Palm Springs
Unknown - 3660,SCE Northern,SUBSTATION,Operational,34.19343501,-118.51897502,Los Angeles County,Los Angeles
Indigo,SCE,SUBSTATION,Operational,33.91062757,-116.5528796,Riverside County,Palm Springs
