substation_name,substation_id,division,voltage_kv,num_banks,ungrounded_banks,existing_dg_kw,queued_dg_kw,total_dg_kw,redacted,longitude,latitude
SAN MATEO,02419,Peninsula,4.16,2,,1671,2051,3722,NO,-122.31998566182828,37.581730907829034
SANTA ROSA A,04215,Sonoma,12,3,,10123,11427,21550,NO,-122.71335000873452,38.43690591996298
NOVATO,04221,Sonoma,12,2,"1,2",15462,20454,35916,NO,-122.56790709808408,38.10854640016638
BOLINAS,04226,Sonoma,12,1,,2520,180,2700,NO,-122.70669223077799,37.940980126696346
BASALT,04246,North Bay,12,2,"1,2",2266,4748,7014,NO,-122.26904909242029,38.263113769641514
PETALUMA C,04263,Sonoma,12,4,"2,3,4",4308,5393,9701,NO,-122.63676111116997,38.23949974182017
FORT BRAGG A,04276,Humboldt,12,2,,2555,2892,5447,NO,-123.79944585942633,39.4353215496146
UPPER LAKE,04287,Humboldt,12,1,,1778,2021,3799,NO,-122.91705320074546,39.14608725571375
GREENBRAE,04309,Sonoma,12,2,"1,2",2587,3207,5794,NO,-122.51415076392202,37.93806581399283
LAKEVILLE,04337,Sonoma,12,2,,16136,17100,33236,NO,-122.58100117848137,38.25024379525056
SILVERADO,04343,North Bay,21,2,,9426,10103,19529,NO,-122.45894388782744,38.49997654207099
CORONA,04349,Sonoma,12,1,,4787,5122,9909,NO,-122.6571608149265,38.26512802531959
COLUSA,06202,Sacramento,12,2,"1,2",4906,5244,10150,NO,-122.00306856656789,39.213661583558526
WOODLAND,06203,Sacramento,12,3,,0,0,0,YES,-121.75921270604204,38.67836096439384
DAVIS,06204,Sacramento,12,3,,3044,3674,6718,NO,-121.73374122134759,38.54537389882344
DIXON,06206,North Bay,12,2,,11147,12905,24052,NO,-121.82592500657064,38.44526066389723
GRAND ISLAND,06246,Sacramento,21,3,,7480,9456,16936,NO,-121.59064447220263,38.23143431844358
KNIGHTS LANDING,06272,Sacramento,12,1,,4460,530,4990,NO,-121.74638901920422,38.80894434056115
MAXWELL,06288,Sacramento,12,2,"1,2",2537,12011,14548,NO,-122.15302787153043,39.27720532980578
WEST SACRAMENTO,06313,Sacramento,12,3,,3504,4626,8130,NO,-121.54527027674682,38.58949498136971
MADISON,06317,Sacramento,12,3,,12770,51760,64530,NO,-121.96822536987199,38.6702386370396
PLAINFIELD,06344,Sacramento,12,2,"1,2",5602,6334,11936,NO,-121.79358211851525,38.618266371188795
MOUNTAIN VIEW,08203,De Anza,12,3,,13528,17407,30935,NO,-122.06962750222034,37.38264012657535
SAN JOSE B,08226,San Jose,12,4,,1003,1003,2006,NO,-121.90189598036699,37.34102949703376
ALMADEN,08231,San Jose,12,2,,6248,8329,14577,NO,-121.8898329799593,37.26010442296057
BEN LOMOND,08304,Central Coast,12,2,,415,514,929,NO,-122.09644564945187,37.09229030534265
LLAGAS,08318,San Jose,21,3,,5611,5716,11327,NO,-121.5569929127207,37.00719420510908
PAUL SWEET,08325,Central Coast,21,3,,6408,7400,13808,NO,-121.98206206990659,36.99259833764791
LAWRENCE,08342,De Anza,12,3,,1473,1613,3086,NO,-122.01009460038279,37.39719513054225
CHICO B,10249,North Valley,12,2,,7926,8059,15985,NO,-121.846804015902,39.7253212399454
CHALLENGE,10320,North Valley,12,1,1,384,462,846,NO,-121.22014874811363,39.48563129002225
HONCUT,10321,North Valley,12,1,,2961,5307,8268,NO,-121.59528383517109,39.3207327968909
PEACHTON,10324,North Valley,12,2,,4755,12374,17129,NO,-121.68516794919552,39.37878705432235
CORNING,10333,North Valley,12,3,2,11753,19986,31739,NO,-122.18734884261642,39.932572768315495
GERBER,10339,North Valley,12,1,,4503,12735,17238,NO,-122.15622506854064,40.064282247371494
ROCKLIN,15206,Sierra,12,2,"1,2",8208,8915,17123,NO,-121.23169846692959,38.7878362079499
BONNIE NOOK,15230,Sierra,12,1,,15,15,30,NO,-120.80959918082057,39.21451033170248
SHADY GLEN,15243,Sierra,12,1,1,4544,4806,9350,NO,-120.95381821842112,39.115253699631616
WEIMAR,15249,Sierra,12,1,,6035,6772,12807,NO,-120.98785201726103,39.03618697846676
BELL,15270,Sierra,12,2,,7036,8973,16009,NO,-121.0914507213159,38.946685494069264
WHEATLAND,15281,Sacramento,12,2,"1,2",5315,5809,11124,NO,-121.41884454220937,39.013259823908015
OLIVEHURST,15290,Sacramento,12,2,,2049,2808,4857,NO,-121.54283685629107,39.09191021084869
APPLE HILL,15366,Sierra,12,2,,7886,14003,21889,NO,-120.67736539967991,38.73938813175536
PLUMAS,15373,Sacramento,21,2,"1,2",17080,19537,36617,NO,-121.54346448414111,39.0262294520019
SMARTVILLE,15379,Sacramento,12,1,,550,220,770,NO,-121.30260526619712,39.20859431679137
STAGG,16242,Stockton,12,4,,9176,12373,21549,NO,-121.34788419136743,37.99168060969362
LAMMERS,16277,Stockton,12,2,,2256,4260,6516,NO,-121.47875326631689,37.71280029392499
TRACY,16288,Stockton,12,4,,4972,5269,10241,NO,-121.41575105836796,37.74813194950613
VALLEY HOME,16298,Yosemite,17,2,"2,1",12286,14557,26843,NO,-120.94440964637617,37.856085489585034
GUSTINE,16311,Yosemite,12,2,2,5501,6926,12427,NO,-121.01309879419414,37.253059038898215
VICTOR,16328,Stockton,12,2,1,3126,9760,12886,NO,-121.1770973185347,38.145198269276065
FRENCH CAMP,16329,Stockton,12,2,,9862,10245,20107,NO,-121.29042050604268,37.881897863897066
FROGTOWN,16345,Stockton,17,2,"1,2",4213,4381,8594,NO,-120.5341629491827,38.05723780621027
SALINAS,18201,Central Coast,12,2,,28190,8850,37040,NO,-121.65117257696299,36.68286418701568
