name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
Linde,PG&E,pge,,,,38.02639866516522,-121.8496279282101,Contra Costa County,Pittsburg,94565,CEC,,74,115,38.02639867,-121.8496279,2.5287641825508655e-06,True
Shell Oil 1,Other,other,SUBSTATION,303191.0,115.0,38.014200078166496,-122.11580648937408,Contra Costa County,Unincorporated,94553,CEC,,75,115,38.01420008,-122.1158065,9.529574390172036e-07,True
Union Chemical,Other,other,SUBSTATION,305575.0,60.0,38.01900393190366,-122.23541766172627,Contra Costa County,Unincorporated,94572,CEC,,76,66,38.01900393,-122.2354177,3.359457238253137e-06,True
Walnut Creek Pp,Other,other,SUBSTATION,302976.0,,37.92595615594091,-122.0713843403046,Contra Costa County,Walnut Creek,94597,CEC,,77,66,37.92595616,-122.0713843,3.5638610018253686e-06,True
Tres Vaqueros Wind Farm (Jv Ent),Other,other,,,,37.83870260902228,-121.62290638470934,Contra Costa County,Unincorporated,94514,CEC,,78,66,37.83870261,-121.6229064,1.3471456934594186e-06,True
Balfour,PG&E,pge,SUBSTATION,308996.0,60.0,37.92583800616787,-121.67827598590216,Contra Costa County,Brentwood,94513,CEC,,79,66,37.92583801,-121.678276,1.3078993193445761e-06,True
Bollman,Other,other,SUBSTATION,308223.0,115.0,38.01259130455056,-122.04267881543998,Contra Costa County,Unincorporated,94520,CEC,,80,115,38.0125913,-122.0426788,1.4442065294454815e-06,True
Brentwood,PG&E,pge,SUBSTATION,305606.0,,37.91905743453774,-121.6767632027892,Contra Costa County,Unincorporated,94513,CEC,,8609,230,37.91908243,-121.6767862,0.0034342970122571022,True
Briones,Other,other,SUBSTATION,300121.0,60.0,37.88525172402712,-121.8144465339817,Contra Costa County,Unincorporated,94517,CEC,,81,66,37.88525172,-121.8144465,3.0156573244739945e-06,True
Christie,PG&E,pge,SUBSTATION,300153.0,115.0,38.00286201856196,-122.20836799669176,Contra Costa County,Unincorporated,94553,CEC,,8715,66,38.00283792,-122.2083731,0.002716689330583808,True
Clayton,PG&E,pge,SUBSTATION,303412.0,115.0,37.94410025199704,-121.96910714862464,Contra Costa County,Concord,94521,CEC,,82,115,37.94410025,-121.9691071,4.269652106167335e-06,True
Columbia Steel,Other,other,SUBSTATION,307092.0,115.0,38.02598428824968,-121.86331121966684,Contra Costa County,Pittsburg,94565,CEC,,83,115,38.02598429,-121.8633112,1.7336106673688694e-06,True
Antioch,PG&E,pge,SUBSTATION,305643.0,60.0,38.01351801723007,-121.81555199417708,Contra Costa County,Antioch,94509,CEC,,84,66,38.01351802,-121.815552,5.958972231733985e-07,True
Contra Costa,PG&E,pge,SUBSTATION,304763.0,230.0,37.99955467869259,-121.78282309756756,Contra Costa County,Antioch,94509,CEC,,7839,230,37.99953661,-121.7828376,0.0023772843818806754,True
Dow Chemical,Other,other,SUBSTATION,306032.0,,38.02728725211432,-121.85437967894109,Contra Costa County,Pittsburg,94565,CEC,,85,115,38.02728725,-121.8543797,1.8594761740394026e-06,True
East Portal,PG&E,pge,SUBSTATION,301921.0,115.0,37.87595520410172,-122.18704586811504,Contra Costa County,Orinda,94563,CEC,,86,115,37.8759552,-122.1870459,2.83549009006173e-06,True
El Cerrito Station G,PG&E,pge,SUBSTATION,304175.0,115.0,37.9162522425779,-122.30222220257755,Contra Costa County,El Cerrito,94530,CEC,,8639,115,37.91622278,-122.3022692,0.005265907827569608,True
Fibreboard,PG&E,pge,SUBSTATION,304242.0,115.0,38.01599633726957,-121.77391862069334,Contra Costa County,Antioch,94509,CEC,,87,115,38.01599634,-121.7739186,1.838062136540292e-06,True
Franklin,PG&E,pge,SUBSTATION,306689.0,60.0,38.01210700210434,-122.26432998479756,Contra Costa County,Hercules,94547,CEC,,88,66,38.012107,-122.26433,1.352258980844407e-06,True
Herdlyn,PG&E,pge,SUBSTATION,303302.0,60.0,37.81672046460723,-121.58616542016526,Contra Costa County,Unincorporated,94514,CEC,,89,66,37.81672046,-121.5861654,1.84393778886968e-06,True
Imhoff,PG&E,pge,SUBSTATION,303584.0,115.0,38.00163656751872,-122.0672556867176,Contra Costa County,Unincorporated,94553,CEC,,90,115,38.00163657,-122.0672557,1.1960729439204911e-06,True
Kirker,PG&E,pge,SUBSTATION,309545.0,115.0,38.02078899146564,-121.90595499339868,Contra Costa County,Pittsburg,94565,CEC,East Bay,8148,115,38.02081145,-121.905937,0.002953090056273835,True
