bus_i,kV,Type,Import,Lat,Lon,nearest_basin_name,nearest_basin_owner,nearest_basin_type,nearest_basin_lat,nearest_basin_lon,dist_km,matched
182,115,Substation,' ',33.12533089,-115.9785357,Anza,iid,SUBSTATION,33.12533088605369,-115.97853572348794,2.2308550749877713e-06,True
183,66,Substation,' ',32.78149971,-114.5745907,Bard,iid,SUBSTATION,32.78149970846808,-114.57459068848506,1.0898820514967246e-06,True
184,115,Substation,' ',32.90250651,-114.4800809,Barret,iid,SUBSTATION,32.90250651139008,-114.48008087673414,2.177567299026506e-06,True
185,115,Substation,' ',33.38496117,-115.6887666,Bombay,iid,SUBSTATION,33.38496117463499,-115.68876661084998,1.1315723151681101e-06,True
186,66,Substation,' ',32.66910959,-115.5002718,Calexico,iid,SUBSTATION,32.6691095906929,-115.50027179551692,4.2664929528334195e-07,True
187,115,Substation,' ',32.81791422,-115.5779823,Central,iid,SUBSTATION,32.81791422111321,-115.57798228890142,1.04450012069093e-06,True
188,115,Substation,' ',33.41180556,-116.0507499,Desert Shores,iid,SUBSTATION,33.4118055552231,-116.05074992148975,2.064154507656154e-06,True
189,115,Substation,' ',32.79963333,-115.5791028,Euclid,iid,SUBSTATION,32.799633334218264,-115.5791027769839,2.201789665934539e-06,True
190,115,Substation,' ',33.05360069,-114.9841401,Goldfields,iid,SUBSTATION,33.053600687367975,-114.98414006909596,2.8950645006090455e-06,True
191,115,Substation,' ',33.04703333,-114.8841944,Goldmine,iid,SUBSTATION,33.0470333341259,-114.88419444624306,4.334487799845218e-06,True
