model,segment,value,n,rmse,mae,r2,wape
ridge,hour,14,1248,24.895607372106387,4.0498359617282045,0.5600168155022133,0.20171896094340863
ridge,hour,15,1248,26.739558744459917,4.425553837049944,0.6053021232626955,0.2128055366556174
ridge,hour,16,1248,25.626985795274244,4.474806799746207,0.6937725574518936,0.20046861893392176
ridge,hour,17,1248,24.345426569436253,4.485994588709082,0.7356640511113295,0.19215816612897405
ridge,hour,18,1248,35.58056699440612,5.145222772327636,0.46282790486501924,0.22315394686796003
ridge,hour,19,1248,26.695232209970623,4.30342263904753,0.6490688105554439,0.1912311947934048
ridge,hour,20,1248,21.821582851730877,4.057500928022827,0.7157451876502197,0.18512583289532672
ridge,hour,21,1248,29.064568988208816,4.498183829208339,0.5488492707307528,0.2160604603244451
ridge,hour,22,1248,23.348150985990305,4.131668101011459,0.6663471706357367,0.20760361404103952
ridge,hour,23,1248,22.263206211959574,3.9001762044523387,0.12111301887479009,0.23274275356083285
ridge,utility,pge,15264,1.1757429335719758,0.7373518901697551,0.9932014635672092,0.0639590440983205
ridge,utility,sce,12672,33.4172494224617,7.653977139126528,0.544498883683696,0.32165364312278205
ridge,utility,sdge,2016,1.769731274395386,1.3175874702529977,0.9873911438068131,0.03594511449633212
ridge,sub_kv_class,66.0,17568,7.476711217978232,2.142222580950943,0.8387939822916098,0.15238216116727837
ridge,sub_kv_class,115.0,8928,38.43940971642229,7.885478417440489,0.5341249627003493,0.2767708393221029
ridge,sub_kv_class,230.0,1728,1.3136068108237178,0.9899356592143228,0.9907766528634132,0.03942898595960341
ridge,sub_kv_class,500.0,288,1.8701585535000675,1.7600631391414032,-0.1753072559943849,0.1858939348531745
lasso,month,1,2496,12.205962997702343,2.701126397873987,0.7721279883917819,0.17235112967028143
lasso,month,2,2496,17.39879670434713,3.2666884738005457,0.6422948976536034,0.19760554654200202
lasso,month,3,2496,15.900228650647131,3.035050326367223,0.6958496128975085,0.18800240255918693
lasso,month,4,2496,17.780069700833874,3.2936515486475435,0.5106838389768078,0.21442564620699028
lasso,month,5,2496,15.264923148090762,2.8827855006848884,0.7120577781307309,0.1675458926214981
lasso,month,6,2496,22.396235941004843,3.9399094641335797,0.6805789391204078,0.19607288731017816
lasso,month,7,2496,25.31637992275264,4.3773230709075435,0.6891461633372887,0.19804646955640687
lasso,month,8,2496,36.29084973577497,5.514128471217806,0.41873363076351566,0.23202681249542054
lasso,month,9,2496,35.79156889958773,5.920859762234034,0.5247862311485934,0.23833797751348773
lasso,month,10,2496,17.553531666308036,3.3751685613191253,0.5968121893791578,0.19476991831190774
lasso,month,11,2496,14.018548244003307,2.852652058488444,0.7001336099327921,0.1809795580123261
lasso,month,12,2496,13.645918900162924,2.770173864308838,0.723176515693382,0.1719770309733481
lasso,hour,0,1248,16.549694113456834,2.8308342956774566,0.7318556895447972,0.16842759889131925
lasso,hour,1,1248,18.601409161153267,2.93976164782597,0.5854552293072457,0.18761675266366903
lasso,hour,2,1248,15.990440081815246,2.7537533922108244,0.6502927898889903,0.18784405675327356
lasso,hour,3,1248,19.495372325596282,3.2894130308544596,0.4302811354118019,0.2236082811645282
lasso,hour,4,1248,14.084208677585535,2.6707352150353163,0.6767360853122641,0.18241787159122105
lasso,hour,5,1248,18.115908087286783,3.375067452071439,0.419365860214713,0.21982987568065537
lasso,hour,6,1248,14.002908186297935,2.765985590251395,0.7379028812929666,0.16853017118161215
lasso,hour,7,1248,16.973538242904887,3.258045205710692,0.4310083354011358,0.20091508830814453
lasso,hour,8,1248,15.575803484025911,3.2416247851629842,0.6008842534478291,0.19218702823874154
lasso,hour,9,1248,13.966917417767023,3.0066754332390593,0.7047699191727437,0.17940189860838057
lasso,hour,10,1248,21.348238833039606,3.573331097751959,0.6133592317675483,0.20435482600718702
lasso,hour,11,1248,20.373375096430987,3.490065314180979,0.6302228159771845,0.19399910149700367
lasso,hour,12,1248,19.361909582546904,3.5593616386893427,0.33342360357640977,0.2033217871252316
lasso,hour,13,1248,22.178929925130575,3.8810630166511566,0.6608255769139283,0.2015164757085821
lasso,hour,14,1248,24.895826257255266,3.9986175522329837,0.5600090786989476,0.19916781456558327
lasso,hour,15,1248,26.750125774020994,4.3828597016022615,0.6049901055302148,0.2107525623295728
