name,owner_raw,owner_std,type,category,matched_to_scrape,max_voltage_kv,latitude,longitude,county,city,status,cec_resolve_area,hifld_id
Brighton - (PG&E),PG&E,pge,SUBSTATION,substation,False,230.0,38.5481369,-121.40773039,Sacramento County,Sacramento,Operational,PGE NGBA,304301.0
Gold Hill,PG&E,pge,SUBSTATION,substation,False,230.0,38.65748247,-121.13674421,Sacramento County,Folsom,Operational,PGE NGBA,300336.0
Gregg,PG&E,pge,SUBSTATION,substation,False,230.0,36.8528046,-119.91706767,Madera County,,Operational,PGE Fresno,306523.0
Bellota,PG&E,pge,SUBSTATION,substation,False,230.0,38.01550727,-121.01367355,San Joaquin County,,Operational,PGE GBA,305708.0
Jefferson - (PG&E),PG&E,pge,SUBSTATION,substation,False,230.0,37.45761189,-122.28635778,San Mateo,Woodside,Operational,PGE GBA,304264.0
Shiloh III,PG&E,pge,SUBSTATION ASSUMED,substation,False,230.0,38.16951763,-121.84690294,Solano County,,Operational,PGE GBA,
Caliente,PG&E,pge,SUBSTATION,substation,False,230.0,35.37898578,-119.91703511,San Luis Obispo County,,Operational,PGE Kern,300126.0
Los Esteros,PG&E,pge,SUBSTATION,substation,False,230.0,37.42746526,-121.93291779,Santa Clara County,San Jose,Operational,PGE GBA,310258.0
Birds Landing,PG&E,pge,SUBSTATION,substation,False,230.0,38.12464691,-121.83013466,Solano County,,Operational,PGE GBA,309954.0
Thermalito,PG&E,pge,SUBSTATION,substation,False,230.0,39.51408656,-121.63245716,,,Operational,PGE NGBA,302245.0
Poe,PG&E,pge,SUBSTATION,substation,False,230.0,39.72353156,-121.46995778,Butte County,,Operational,PGE NGBA,304253.0
Collierville,PG&E,pge,SUBSTATION ASSUMED,substation,False,230.0,38.14455495,-120.38144217,Calaveras County,,Operational,PGE GBA,
Contra Costa Power,PG&E,pge,SUBSTATION,substation,False,230.0,38.01528472,-121.76228962,Contra Costa County,Antioch,Operational,PGE GBA,305718.0
Delta Pumps,PG&E,pge,SUBSTATION,substation,False,230.0,37.8005837,-121.6209387,Alameda County,,Operational,PGE GBA,304333.0
Balch 2,PG&E,pge,SUBSTATION,substation,False,230.0,36.90898447,-119.08758086,Fresno County,,Operational,PGE Fresno,300954.0
Pine Flat,PG&E,pge,SUBSTATION,substation,False,230.0,36.83274219,-119.32678825,Fresno County,,Operational,PGE Fresno,300052.0
Midway-Sunset Cogeneration,PG&E,pge,SUBSTATION,substation,False,230.0,35.2272951,-119.63098748,Kern County,,Operational,PGE Kern,309535.0
Pit 4,PG&E,pge,SUBSTATION,substation,False,230.0,40.98708872,-121.84928974,Shasta County,,Operational,PGE NGBA,304331.0
Cove Road,PG&E,pge,SUBSTATION,substation,False,230.0,40.8776645,-121.92868619,Shasta County,,Operational,PGE NGBA,309215.0
James B. Black,PG&E,pge,SUBSTATION,substation,False,230.0,40.99252782,-121.97458795,Shasta County,,Operational,PGE NGBA,303958.0
