name,owner_raw,owner_std,type,category,matched_to_scrape,max_voltage_kv,latitude,longitude,county,city,status,cec_resolve_area,hifld_id
Monarch Bay,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.48574932,-117.72626828,Orange County,,,SDGE Imperial,
Serra - SDG&E,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.46361865,-117.65647667,Orange County,,,SDGE Imperial,
Mansfield,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.76290091,-117.11739558,San Diego County,,,SDGE Imperial,
Tyrone,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.7978308,-116.98829452,San Diego County,,,SDGE Imperial,
Challenge - SDG&E,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.75551853,-116.96455742,San Diego County,,,SDGE Imperial,
Queen,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.76187994,-116.96236308,San Diego County,,,SDGE Imperial,
Garfield 3,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.79510178,-116.98660665,San Diego County,,,SDGE Imperial,
Bradley 3,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.81873199,-116.95835471,San Diego County,,,SDGE Imperial,
Bradley 2,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.81877383,-116.9583558,San Diego County,,,SDGE Imperial,
Helix View,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.78164847,-116.98001636,San Diego County,,,SDGE Imperial,
Montezuma,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.77086129,-117.06905033,San Diego County,,,SDGE Imperial,
La Mesa,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.76721134,-117.02227129,San Diego County,,,SDGE Imperial,
Via Del Norte,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.82347767,-117.27417385,San Diego County,,,SDGE Imperial,
Electric Avenue,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.83031383,-117.27639833,San Diego County,,,SDGE Imperial,
Soledad,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.84962573,-117.25978102,San Diego County,,,SDGE Imperial,
