name_norm,lat_basin,lon_basin,name_raw_basin,lat_util,lon_util,name_raw_util,dist_km
giffen,36.54514360185848,-120.33477561137126,Giffen,36.54577475933991,-120.33539282422548,GIFFEN,0.08924986205272295
gill,37.986768207370986,-122.04026889673518,Gill,37.98700838558783,-122.04030298525278,GILL,0.026873172302864276
girvan,40.51332737038144,-122.37877447664933,Girvan,40.51345782429336,-122.37892882123532,GIRVAN,0.019510562132714817
glenn,39.77791304436671,-122.142904054826,Glenn,39.77771129658629,-122.14217762044808,GLENN,0.06600776633990538
glenwood,37.457155571098994,-122.18692221960626,Glenwood,37.457303934642994,-122.18733079776786,GLENWOOD,0.03965830084744634
goldtree,35.32017501326539,-120.69314451285074,Goldtree,35.32026204712884,-120.69304755782936,GOLDTREE,0.013078104894809128
gonzales,36.50886506696333,-121.44689042031597,Gonzales,36.50924719473701,-121.44649143497328,GONZALES,0.05547094056660042
goose lake,35.60163890356536,-119.57988056253367,Goose Lake,35.60174548016343,-119.57986582808483,GOOSE LAKE,0.011925416000615873
grand island,38.23156044070725,-121.59041520934294,Grand Island,38.23143431844358,-121.59064447220264,GRAND ISLAND,0.024447507024248548
grant,37.67126803925739,-122.15953867436106,Grant,37.67180204255067,-122.15958413255876,GRANT,0.05951309733397604
grass valley,39.20905548676379,-121.06136091053834,Grass Valley,39.20922183386184,-121.06131819310708,GRASS VALLEY,0.0188595652114229
grays flat,40.02241741879699,-121.06544554254224,Grays Flat,40.0221483161838,-121.063733200033,GRAYS FLAT,0.14884885089972458
green valley,36.95194003570028,-121.76029691983965,Green Valley,36.952075206180815,-121.7601230620376,GREEN VALLEY,0.02155416623057522
greenbrae,37.93787270382002,-122.51419760633036,Greenbrae,37.93806581399283,-122.51415076392202,GREENBRAE,0.021862280707915936
gualala,38.78617977578909,-123.52209765733848,Gualala,38.78608834746834,-123.52264215716971,GUALALA,0.04827724859613781
guernsey,36.226313369169056,-119.65522471160294,Guernsey,36.22643077790519,-119.65578907910825,GUERNSEY,0.052279877858989576
gustine,37.25323614332989,-121.01304169556924,Gustine,37.253059038898215,-121.01309879419414,GUSTINE,0.02033121497994671
haas,36.92739551493467,-119.02080883955904,Haas,36.92739381730309,-119.02017254615168,HAAS,0.05655976485632087
halsey,38.95692847708868,-121.04223033527708,Halsey,38.95682089677347,-121.04286722342916,HALSEY,0.056354288485772286
hamilton a,39.74641854176892,-122.01136933547082,Hamilton A,39.74626480299121,-122.01146489920175,HAMILTON A,0.01894708194228675
hamilton branch,40.26934856638285,-121.08812389778008,Hamilton Branch,40.26931804937077,-121.08804585596388,HAMILTON BRANCH,0.007440209337789129
hammer,38.02160701470673,-121.3203790103872,Hammer,38.02161846146168,-121.3204489914979,HAMMER,0.006260878990545919
hammonds,36.72023521859973,-120.60331078826115,Hammonds,36.71999629266149,-120.60261292866964,HAMMONDS,0.06763650188229792
harding,37.96372898729796,-121.29038899788084,Harding,37.96361485228802,-121.29066673738885,HARDING,0.02745742560914777
harris,40.780914589124485,-124.13185342405006,Harris,40.781372534153576,-124.1319638474449,HARRIS,0.051762988228517035
harter,39.14328190436777,-121.64801526159908,Harter,39.1430758668314,-121.64781496424256,HARTER,0.028692487225029546
hartley,39.077214070382624,-122.93256785221448,Hartley,39.07670414389441,-122.93340708386404,HARTLEY,0.0919946621172262
