sub_key,SUBSTATION,YEAR,MONTH,HOUR,MIN_LOAD_bulk,MAX_LOAD_bulk,MIN_LOAD_scrape,MAX_LOAD_scrape,min_diff,max_diff,any_diff
alola,Alola,2017,4,2,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,3,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,4,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,5,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,6,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,7,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,8,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,9,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,10,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,11,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,12,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,13,0,0,0,0,0,0,FALSE
alola,Alola,2017,4,14,0,0,0,0,0,0,FALSE
