utility,substation_name,util_lat,util_lon,basin_lat,basin_lon,dist_to_basin_km,sub_type,substation_voltage,voltage_kv,sys_name,division,subst_id,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub,lat,lon,coord_source,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
pge,WEBER,37.91977787523238,-121.24063827031146,37.91985100304596,-121.24027399076682,0.0329724499284619,,,12.0,,Stockton,16348.0,2.243,6.744,8.987,,,,4.0,,,,,,,,,,,No,37.91977787523238,-121.24063827031146,utility,8829,66,37.9198224,-121.2403159,0.02870798856694029,True
pge,OREGON TRAIL,40.61899130155303,-122.3221442755599,40.61904558800701,-122.32206024241452,0.0093136271843778,,,12.0,,North Valley,10352.0,5.043,5.649,10.692,,,,2.0,,,,,,,,,,,No,40.61899130155303,-122.3221442755599,utility,7647,115,40.61900976,-122.3220492,0.008282999560140251,True
pge,MC CALL,36.6103052673948,-119.63836125979108,36.61082900597876,-119.63921063456868,0.0955987132741457,,,12.0,,Fresno,25412.0,7.264,8.124,15.388,,,,2.0,,,,,,,,,,,No,36.6103052673948,-119.63836125979108,utility,8573,230,36.61081221,-119.6391792,0.092236227319334,True
pge,BALFOUR,37.926180349016605,-121.67855023269668,37.92583800616787,-121.67827598590216,0.0450299805363556,,,12.0,,Diablo,1432.0,1.396,1.65,3.0460000000000003,,,,1.0,,,,,,,,,,,No,37.926180349016605,-121.67855023269668,utility,79,66,37.92583801,-121.678276,0.04502895977875484,True
pge,MOUNTAIN QUARRIES,38.91439251858,-121.01899061136776,38.9140659675594,-121.01898220192484,0.0363181055020804,,,21.0,,Sierra,15228.0,11.362,12.095,23.457,,,,1.0,,,,,,,,,,,No,38.91439251858,-121.01899061136776,utility,102,66,38.91406597,-121.0189822,0.03631783751107611,True
pge,SANGER,36.70772235449084,-119.61086419533504,36.70722322080933,-119.61090006390856,0.0555931627280815,,,12.0,,Fresno,25235.0,7.467,7.914000000000001,15.381,,,,2.0,,,,,,,,,,,No,36.70772235449084,-119.61086419533504,utility,8460,115,36.70726213,-119.6108905,0.051228324762274076,True
pge,SARANAP,37.8949912204196,-122.07469961303588,37.89510413784193,-122.07372832288436,0.0861487117056259,,,4.16,,Diablo,1356.0,0.529,0.541,1.07,,,,1.0,,,,,,,,,,,No,37.8949912204196,-122.07469961303588,utility,2146,66,37.89510414,-122.0737283,0.08615073329550495,True
pge,CALFLAX,36.28387686148028,-120.12208024379596,,,,,,12.0,,Fresno,25344.0,2.065,2.065,4.13,,,,1.0,,,,,,,,,,,No,36.28387686148028,-120.12208024379596,utility,119,66,36.28400837,-120.122075,0.014630632031866488,True
pge,SUNOL,37.58689135859106,-121.86962721571362,37.58690265828723,-121.8696840010358,0.0051589343496118,,,12.0,,Mission,1424.0,1.472,1.661,3.133,,,,1.0,,,,,,,,,,,Yes,37.58689135859106,-121.86962721571362,utility,21,115,37.58690266,-121.869684,0.0051588922188070836,True
pge,TAMARACK,39.31400206641118,-120.49620864570748,39.31387986258088,-120.4969206510396,0.0627429138585795,,,12.0,,Sierra,15229.0,0.025,0.045,0.07,,,,1.0,,,,,,,,,,,Yes,39.31400206641118,-120.49620864570748,utility,756,66,39.31387986,-120.4969207,0.0627470881085138,True
