utility,substation_name,node,dist_km
pge,EDES,8,0.03810823096401676
pge,MORRO BAY,7637,0.038151957908237555
pge,PETALUMA A,1344,0.03829209185140746
pge,LAS PULGAS,1200,0.03829848761962172
pge,MC KEE,1252,0.03830557426279352
sce,Chase,786,0.03849466333159035
sce,Clark,392,0.0385399415177211
pge,DAIRYLAND,570,0.038638353033584774
pge,CORCORAN,318,0.03867256798526166
pge,DUMBARTON,7,0.03867441921496793
pge,REDWOOD CITY,8592,0.038688835405029764
sce,Limestone,700,0.03871286521152544
sce,Fairfax,2091,0.03874308376876965
sce,Joshua Tree,2016,0.03889878741409156
pge,WARD,2152,0.03895797033804346
pge,MARTELL,29,0.03897936955507111
pge,TAFT,8238,0.03908631812392222
sce,Delano,291,0.039198467928817274
sce,Levy,1464,0.03923554168299672
pge,EL CERRITO G,8639,0.03924922339784726
pge,PANORAMA,1285,0.03927322458755716
pge,LOGAN CREEK,154,0.039353642969423695
pge,FOOTHILL,1179,0.03943897068596385
pge,PALMER,1216,0.03961726498818977
pge,GLENWOOD,1198,0.039659925438613935
pge,SUMMIT,7838,0.0396677090799821
sce,Gaviota,1223,0.03973395118329399
pge,VIERRA,1792,0.03973657057032603
pge,FAIRWAY,1213,0.03982764420516687
pge,BERESFORD,1192,0.040101139141445065
sce,Randolph,501,0.04021187389709522
pge,SOTO,2158,0.04030655124113263
sce,Ojai,1467,0.04044570888742562
pge,LE GRAND,613,0.04045123399698744
sce,Felton,417,0.04051901017593494
sce,Vegas,1227,0.0405498660527178
sce,Santa Barbara,1226,0.04068329754839474
pge,SAN RAFAEL,7988,0.04085251122800632
pge,LOS ALTOS,1248,0.04093517582980126
pge,HAYWARD O,2157,0.04098209199074871
pge,BAY MEADOWS,8588,0.04102403942854458
pge,SHINGLE SPRINGS,104,0.04115658674071116
pge,PENRYN,752,0.04122278553540503
pge,VINEYARD,24,0.04122488524288978
sce,Santiago,7870,0.04145542175712902
sce,Lindsay,1429,0.041480143905492116
pge,BRITTON,1229,0.041503221626314146
pge,MABURY,1250,0.04163902524399231
sce,Hi Desert,1013,0.04166905024548118
pge,MT EDEN,7639,0.04171926115934802
pge,LAYTONVILLE,596,0.04175754852676058
sce,Francis,1007,0.04184077838451859
pge,SARATOGA,7918,0.04197016531205012
sce,Huston,1995,0.04197433537569558
sce,Murphy,468,0.041998806863562665
sce,Garnet,796,0.042033596732750686
pge,BLACKWELL,229,0.04206320638670688
pge,NAPA,8541,0.04209984936552426
pge,NAPA,8540,0.04212900143681777
pge,SAN ARDO,654,0.0423763203374855
pge,PARSONS,2159,0.0425123931013585
pge,WOLFE,1264,0.04251619828550777
pge,WHISMAN,1263,0.04256522041249807
pge,EDENVALE,1244,0.04259205308953346
sce,La Habra,694,0.042699613880510044
pge,WALDO,2128,0.04272209423488346
pge,OAKLAND J,20,0.042772050554596104
pge,ANDERSON,1278,0.042799431682397644
