bus_i,kV,Type,Import,Lat,Lon,nearest_cec_name,nearest_cec_owner,nearest_cec_type,nearest_cec_lat,nearest_cec_lon,dist_km,matched
1616,230,Substation,' ',37.74738601,-121.598344,Fayette Energy Corp.,pge_assumed,SUBSTATION,37.74738101,-121.59833091,0.0012781744102153697,True
1617,115,Substation,' ',37.78868624,-122.2898292,NCPA Alameda,pge_assumed,SUBSTATION,37.78868128,-122.28981603,0.0012820091413878547,True
1618,115,Substation,' ',37.77932065,-122.2926961,Cartwright,pge,SUBSTATION,37.77931569,-122.29268289,0.0012853159943490148,True
1619,66,Substation,' ',37.76124999,-121.690746,Green Ridge Services,pge,SUBSTATION,37.76124499,-121.69073289,0.0012795635191785303,True
1620,115,Substation,' ',37.64645793,-118.9100447,Mammoth Pacific Il,sce,SUBSTATION,37.64645275,-118.9100321,0.0012499675181197804,True
1621,115,Substation,' ',37.64552942,-118.9146492,Mammoth Pacific I,sce,SUBSTATION,37.64552423,-118.91463654,0.0012551814442888335,True
1622,66,Substation,' ',37.74310007,-121.6587199,Zond Wind,pge,SUBSTATION,37.74309507,-121.65870683,0.0012766511388910841,True
1623,115,Substation,' ',37.68223895,-121.705288,Lawrence Livermore Laboratory,pge,SUBSTATION,37.68223396,-121.70527494,0.0012762251957976983,True
1624,66,Substation,' ',37.7265308,-121.5872593,Midway Green Ridge Services,pge,SUBSTATION ASSUMED,37.7265258,-121.58724627,0.001273716655510502,True
1625,115,Substation,' ',37.69858612,-121.6106741,Patterson Pass,pge,SUBSTATION,37.69858112,-121.61066097,0.0012820276545704899,True
1626,115,Substation,' ',37.36244493,-120.6278648,San Joaquin Power,pge_assumed,SUBSTATION ASSUMED,37.3624399,-120.62785192,0.0012683090426330705,True
1627,66,Substation,' ',37.41693813,-118.4028574,White Mt. Radio,sce,SUBSTATION,37.41693293,-118.40284487,0.0012485444083610864,True
1628,66,Substation,' ',37.34207284,-118.4409309,Inyo,sce,SUBSTATION,37.34206766,-118.44091835,0.0012500654505899012,True
1629,115,Substation,' ',37.32303711,-118.5017679,Bishop Creek 4,sce,SUBSTATION,37.32303193,-118.50175536,0.001249530226507137,True
1630,66,Substation,' ',37.36019169,-118.3985227,Dwp,sce,SUBSTATION,37.3601865,-118.39851021,0.0012456388077430967,True
1631,66,Substation,' ',37.27387104,-118.5736305,Bishop Creek 2,sce,SUBSTATION,37.27386587,-118.57361798,0.0012480907567437075,True
1632,230,Substation,' ',37.20010694,-119.3068684,Big Creek 2A,sce,SUBSTATION,37.20010183,-119.30685572,0.0012586254136253544,True
1633,230,Substation,' ',37.20395556,-119.242925,Big Creek 1,sce,SUBSTATION,37.20395044,-119.24291235,0.001256707465695412,True
1634,230,Substation,' ',36.92739551,-119.0208088,Haas,pge,SUBSTATION,36.92739041,-119.02079625,0.001251423819073816,True
1635,230,Substation,' ',37.20971272,-119.328853,Big Creek 8,sce,SUBSTATION,37.2097076,-119.32884034,0.0012574208235541274,True
1636,230,Substation,' ',37.22028333,-119.3380194,Mammoth,sce,SUBSTATION,37.22027822,-119.33800678,0.001253619483791579,True
1637,66,Substation,' ',37.08690864,-121.0168727,Chevron Los Banos,pge_assumed,SUBSTATION ASSUMED,37.08690366,-121.01685975,0.0012752054284218544,True
1638,115,Substation,' ',36.94007047,-118.2569513,Division Creek,sce,SUBSTATION,36.94006531,-118.25693885,0.001246399880757248,True
1639,115,Substation,' ',37.14207156,-118.3241606,Big Pine,sce,SUBSTATION,37.14206638,-118.32414812,0.0012471759881309617,True
1640,230,Substation,' ',37.01341111,-120.9452333,Wright - (PG&E),pge,SUBSTATION,37.01340613,-120.94522042,0.0012706112713446944,True
1641,66,Substation,' ',37.06232233,-121.18011,Pacheco,wapa,SUBSTATION,37.06231736,-121.18009701,0.0012782581389500012,True
1642,230,Substation,' ',37.06666669,-121.0754528,San Luis,pge,SUBSTATION,37.06666171,-121.07543984,0.0012762810521959624,True
1643,115,Substation,' ',37.0922461,-119.5526664,Kerchoff 1 - (PG&E),pge,SUBSTATION,37.09224101,-119.55265374,0.0012574701728367353,True
1644,230,Substation,' ',37.14821116,-119.3885387,Big Creek 3,sce,SUBSTATION,37.14820605,-119.38852604,0.0012577323411691443,True
1645,115,Substation,' ',37.07187751,-119.558037,Kerchoff 2,pge,SUBSTATION,37.07187243,-119.55802431,0.001259618051001943,True
