name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path,cec_id,status,proposed,urban_rural,imagery_verified,cpuc_substation_name,cpuc_caiso_study_area,cpuc_caiso_local_area,cpuc_owner,cpuc_voltages,cec_resolve_area,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
Unknown - 3959,PG&E FRESNO,pge,NOT AVAILABLE,307522.0,,36.44521041,-119.89610633,Fresno County,,93656.0,HIFLD,,{94F562E0-A113-4499-83A4-18E7DB279042},Operational,NO,RURAL,UNK,,,,,,PGE Fresno,120,66,36.44598609,-119.7989666,8.68934001099593,False
Michigan Cal,Other (PGE - Assumed),pge_assumed,SUBSTATION ASSUMED,306364.0,,38.74019238,-120.67751202,El Dorado County,Camino,95709.0,CEC,,{89C9496A-CBCC-497B-9877-E1F9FE817950},Operational,NO,RURAL,UNK,,,,,,PGE NGBA,106,115,38.79337762,-120.619311,7.774075459428337,False
Unknown - 3960,SDGE Imperial,sdge,SUBSTATION,307550.0,69.0,32.79685931,-116.971782,San Diego County,El Cajon,92020.0,HIFLD,,{FFBAB078-CA4E-4F18-BA72-1AD6FE64346C},Operational,NO,URBAN,UNK,,,,,,SDGE Imperial,2246,66,32.79525102,-116.996787,2.3440713068039436,False
Pw Pipe,Other (PGE - Assumed),pge_assumed,SUBSTATION,308842.0,60.0,38.6532594,-120.96546665,El Dorado County,Cameron Park,95682.0,CEC,,{62DB9011-7BEB-4824-9C09-412D0D074605},Operational,NO,URBAN,UNK,,,,,,PGE NGBA,2112,66,38.65326453,-120.9654797,0.001268689139851505,True
Unknown - 3961,PG&E NGBA,pge,SUBSTATION,307575.0,60.0,38.57082039,-121.43269209,Sacramento County,Sacramento,95819.0,HIFLD,,{B8341770-1C73-44DD-B4D7-EA8CA391130A},Operational,NO,URBAN,UNK,,,,,,PGE NGBA,1773,66,38.57077511,-121.451394,1.6258855995735837,True
Santa Rosa B,PG&E,pge,SUBSTATION ASSUMED,,,38.4402566,-122.70899346,Sonoma County,Santa Rosa,95404.0,CEC,,{B98B5FF2-C29D-4991-B09A-51EF0A25C16B},Operational,NO,URBAN,UNK,,,,,,PGE NGBA,2113,66,38.44026158,-122.7090068,0.0012870523387449174,True
Unknown - 3962,PG&E KERN,pge,NOT AVAILABLE,307580.0,115.0,35.49928876,-119.02885372,Kern County,,,HIFLD,,{406AB0E8-B480-47BC-9D44-FA0DB62FD8EF},Operational,NO,RURAL,UNK,,,,,,PGE Kern,248,115,35.50944487,-119.0305112,1.139230955880717,True
Oakmont North,PG&E,pge,SUBSTATION,307357.0,230.0,38.4428208,-122.58380045,Sonoma County,Santa Rosa,95409.0,CEC,North Bay,{27F14C23-A2E4-4BAF-B3E6-F57B05F08F63},Operational,NO,RURAL,UNK,,,,,,PGE NGBA,2114,230,38.44282579,-122.5838138,0.0012882798374762984,True
Unknown - 3963,SCE Metro,sce,RISER,307667.0,69.0,33.85969614,-117.7930119,Orange County,Anaheim,92807.0,HIFLD,,{230A66BB-2C7C-4049-9CF3-72C1593EDFC7},Operational,NO,URBAN,UNK,,,,,,SCE Metro,2035,66,33.85820599,-117.8071247,1.313633696444327,True
Oakmont South,PG&E,pge,SUBSTATION,309048.0,230.0,38.42885154,-122.59333015,Sonoma County,Santa Rosa,95409.0,CEC,North Bay,{6C911E02-9C33-4C25-9171-022C36870433},Operational,NO,URBAN,UNK,,,,,,PGE NGBA,2115,230,38.42885652,-122.5933435,0.0012880044408018982,True
Unknown - 3964,PG&E NGBA,pge,SUBSTATION,307690.0,115.0,38.69463908,-120.82473112,El Dorado County,Diamond Springs,95619.0,HIFLD,,{EB3511AB-DE4C-48F5-B6D4-A73B92129984},Operational,NO,URBAN,UNK,,,,,,PGE NGBA,99,115,38.69341229,-120.8258948,0.16972901310195998,True
Unknown - 3965,SCE Metro,sce,RISER,307704.0,66.0,34.11532412,-117.93404186,Los Angeles County,Azusa,91702.0,HIFLD,,{86EEF911-3510-4DE4-AB08-3C96C5CF62EE},Operational,NO,URBAN,UNK,,,,,,SCE Metro,406,66,34.11389987,-117.9336277,0.16289437313638516,True
Vallejo B,PG&E,pge,SUBSTATION,301269.0,,38.1065147,-122.24121165,Solano County,Vallejo,94590.0,CEC,,{0B42B052-2FC7-4075-9CE4-B2D96C69F4ED},Operational,NO,URBAN,UNK,,,,,,PGE NGBA,1324,115,38.08549398,-122.2572744,2.727487900186737,False
Unknown - 3966,SCE EOP,sce,SUBSTATION,307716.0,,35.57332963,-115.4360145,San Bernardino County,,,HIFLD,,{4CEA2839-3AF8-49BD-AE24-EC35200C11F4},Operational,NO,RURAL,UNK,,,,,,SCE EOP,7919,230,35.25223227,-115.5157519,36.428287730988295,False
Vallejo C,PG&E,pge,SUBSTATION,310037.0,,38.09846973,-122.25315898,Solano County,Vallejo,94590.0,CEC,,{D32F7F7E-2B3C-46C8-BD27-2CEB0CB671D6},Operational,NO,URBAN,UNK,,,,,,PGE NGBA,1324,115,38.08549398,-122.2572744,1.4871078004156832,True
Unknown - 3967,SCE Eastern,sce,NOT AVAILABLE,307724.0,,33.86109507,-116.45643313,Riverside County,Cathedral City,92276.0,HIFLD,,{0CE58FDA-CB43-41B4-9628-D4B537E5BF52},Operational,NO,RURAL,UNK,,,,,,SCE Eastern,1860,115,33.87760559,-116.4643638,1.976514218741503,True
Crockett,PG&E,pge,SUBSTATION,308554.0,,38.04858414,-122.22168609,Contra Costa County,,94525.0,CEC,,{0C5062B8-C44A-4CBD-A547-197467F93977},Operational,NO,RURAL,UNK,,,,,,PGE GBA,2117,66,38.04858913,-122.2216993,0.0012829250137945639,True
Unknown - 3968,PG&E NGBA,pge,NOT AVAILABLE,307728.0,60.0,38.67131024,-121.26232824,Sacramento County,Citrus Heights,95610.0,HIFLD,,{E371C960-81E6-4F67-AF94-F7056F2829B0},Operational,NO,URBAN,UNK,,,,,,PGE NGBA,2348,66,38.67138727,-121.2647745,0.21254388122073276,True
Liquid Carbonic Inc.,Other (PGE - Assumed),pge_assumed,SUBSTATION,303178.0,,38.40796316,-121.95358543,Solano County,Vacaville,95688.0,CEC,,{EB2BC1B2-CB2C-4DC3-91FF-14D12A4E5C68},Operational,NO,URBAN,UNK,,,,,,PGE NGBA,2118,66,38.40796819,-121.9535987,0.001284428947819045,True
Unknown - 3969,SCE Northern,sce,NOT AVAILABLE,307744.0,66.0,35.7329193,-119.09850172,Kern County,,93215.0,HIFLD,,{1F7A87A3-6801-4D7A-A89D-67DEAFDA84C4},Operational,NO,RURAL,UNK,,,,,,SCE Northern,306,66,35.73285976,-119.1298083,2.8258118569549757,False
Rio Vista - (PG&E),PG&E,pge,SUBSTATION,304327.0,,38.16004469,-121.69648695,Solano County,Rio Vista,94571.0,CEC,,{9C410E4B-9B7F-436A-B07A-09C07C9E820A},Operational,NO,URBAN,UNK,,,,,,PGE NGBA,8535,500,38.12735372,-121.8307367,12.290126475063825,False
STATELINE,PG&E NGBA,pge,SUBSTATION,307747.0,,38.95239855,-119.94186836,El Dorado County,South Lake Tahoe,96150.0,HIFLD,,{86871E99-08C6-4BFC-89A1-E53FAA9628E1},Operational,NO,URBAN,UNK,,,,,,PGE NGBA,738,66,39.16617697,-120.1444681,29.51380844226507,False
Sebastini Winery (Nathanson),Other (PGE - Assumed),pge_assumed,SUBSTATION ASSUMED,,60.0,38.13827054,-121.38793485,San Joaquin County,,95242.0,CEC,,{BF2884DC-C4F7-4237-AAC6-738EFF412C90},Operational,NO,RURAL,UNK,,,,,,PGE GBA,2119,66,38.13827559,-121.3879479,0.0012719779959920298,True
De Sabla,PG&E NGBA,pge,SUBSTATION,307764.0,60.0,39.87074304,-121.63211567,Butte County,,95954.0,HIFLD,,{758A239E-CA0A-427A-9A8F-B79CEC12EB91},Operational,NO,RURAL,UNK,,,,,,PGE NGBA,50,66,39.76066295,-121.6187304,12.293619736953646,False
Woodbridge Winery,Other (PGE - Assumed),pge_assumed,SUBSTATION,304932.0,60.0,38.15262317,-121.24540792,San Joaquin County,,95220.0,CEC,,{C8C98B8F-2449-471A-88D8-6C777D69128E},Operational,NO,RURAL,UNK,,,,,,PGE GBA,2120,66,38.15262823,-121.245421,0.0012746211687624668,True
Unknown - 3972,PG&E GBA,pge,RISER,307770.0,115.0,37.42344805,-121.95401089,Santa Clara County,San Jose,95134.0,HIFLD,,{9159ED61-6B5D-482D-BC0E-379CE1DAD70B},Operational,NO,URBAN,UNK,,,,,,PGE GBA,1534,115,37.4207031,-121.9598699,0.6007222886176402,True
Trans Bay Cable,PG&E,pge,SUBSTATION ASSUMED,,,38.01861191,-121.85085859,Contra Costa County,Pittsburg,94565.0,CEC,,{4DC097B2-ABA4-4E3C-9E6D-299EC1987E65},Operational,NO,URBAN,UNK,,,,,,PGE GBA,2121,230,38.01861691,-121.8508717,0.001275942659424922,True
Unknown - 3973,SCE Metro,sce,SUBSTATION,307794.0,66.0,34.07723912,-117.81267114,Los Angeles County,San Dimas,91773.0,HIFLD,,{C3D01A47-D5F6-4BDF-B554-6B97E1E8772A},Operational,NO,URBAN,UNK,,,,,,SCE Metro,546,66,34.041376,-117.8181737,4.019884359341183,False
Sausalito Meter,PG&E,pge,SUBSTATION,306024.0,,37.8398372,-122.47857094,Marin County,"San Francisco--Oakland, CA",94965.0,CEC,,{96A38644-574F-436B-8D86-9AC77DE9E0B6},Operational,NO,URBAN,UNK,,,,,,PGE GBA,2122,115,37.83984215,-122.4785842,0.0012879480131102532,True
Unknown - 3974,SCE Metro,sce,SUBSTATION,307800.0,66.0,34.05037915,-118.43201078,Los Angeles County,Los Angeles,90025.0,HIFLD,,{4FD9C0D5-2384-41F6-951B-6F496AC6CE2E},Operational,NO,URBAN,YES,,,,,,SCE Metro,519,66,34.04746172,-118.4521968,1.8878524389928384,True
