t3_name,sub_id,t3_norm,alt_name,alt_lat,alt_lon,alt_norm,t3_in_basin,alt_in_basin,names_agree
Elementary P.t.,2038.0,elementary,Elementary P.T.,34.10633553615135,-118.10358632634345,elementary,False,False,True
Elizabeth Lake,596.0,elizabeth lake,Elizabeth Lake,34.49098850700194,-118.61504490755289,elizabeth lake,True,True,True
Ellis,374.0,ellis,Ellis,33.68544544480769,-117.9434316308098,ellis,True,True,True
Elsinore,1667.0,elsinore,Elsinore,33.67450557123915,-117.32588146539794,elsinore,True,True,True
Ely,931.0,ely,Ely,33.850669276650706,-118.02764770461924,ely,True,True,True
Emigrant P.t.,1369.0,emigrant,Emigrant P.T.,36.60388225402959,-117.14340065601516,emigrant,False,False,True
Eric,904.0,eric,Eric,33.8798500049219,-118.09062992806278,eric,True,True,True
Escala P.t.,2047.0,escala,Escala P.T.,33.505778122375155,-117.33327331429768,escala,False,False,True
Escondido P.t.,1373.0,escondido,Escondido P.T.,34.489360609943034,-118.32216227118028,escondido,False,False,True
Estero,696.0,estero,Estero,34.145483384192424,-119.09457121669094,estero,True,True,True
Estrella,1024.0,estrella,Estrella,33.687249709892,-117.82790152451156,estrella,True,True,True
Etiwanda,1874.0,etiwanda,Etiwanda,34.0874063550556,-117.52566069325276,etiwanda,True,True,True
Ettalee P.t.,1371.0,ettalee,Ettalee P.T.,36.30854453683688,-116.41507365047508,ettalee,False,False,True
Euclid,776.0,euclid,Euclid,34.08207658430842,-117.63291206560012,euclid,True,True,True
Fairview,933.0,fairview,Fairview,33.69420600217397,-117.8676489323096,fairview,True,True,True
Falcon Ridge,1882.0,falcon ridge,Falcon Ridge,34.154530066281474,-117.43225566011652,falcon ridge,True,True,True
Falls P.t.,1384.0,falls,Falls P.T.,37.61929260719179,-119.0183354078835,falls,False,False,True
Farrell,1807.0,farrell,Farrell,33.84688300284005,-116.5047269975424,farrell,True,True,True
Fernwood,868.0,fernwood,Fernwood,33.92844212484132,-118.21523574692952,fernwood,True,True,True
Fighter P.t.,2239.0,fighter,Fighter P.T.,33.818226965303246,-117.51824665701758,fighter,False,False,True
Fillmore,647.0,fillmore,Fillmore,34.408935811473874,-118.92041982248664,fillmore,True,True,True
Firehouse,813.0,firehouse,Firehouse,34.04225255129872,-117.62248279227188,firehouse,True,True,True
Fish Valley,192.0,fish valley,Fish Valley,37.490690346339534,-117.8850037564599,fish valley,False,False,True
Flagstone P.t.,2031.0,flagstone,Flagstone P.T.,33.81906581179163,-118.12107910289824,flagstone,False,False,True
Floraday,1010.0,floraday,Floraday,33.93548799543143,-118.09417900279584,floraday,True,True,True
Fogarty,1834.0,fogarty,Fogarty,33.70081870853662,-117.37384841874932,fogarty,True,True,True
Forest Home,1670.0,forest home,Forest Home,34.087574182727614,-116.92060648551028,forest home,True,True,True
Fortune P.t.,2301.0,fortune,Fortune P.T.,33.78847912869119,-116.92905165617078,fortune,False,False,True
Forty Eight St. P.t.,1381.0,forty eight st,Forty Eight St. P.T.,33.99991006348528,-118.33120425305948,forty eight st,False,False,True
Francis,771.0,francis,Francis,34.04176760572311,-117.7227327721905,francis,True,True,True
