t3_name,sub_id,t3_norm,alt_name,alt_lat,alt_lon,alt_norm,t3_in_basin,alt_in_basin,names_agree
Bard P.t.,1285.0,bard,Bard P.T.,34.16027322450465,-119.18816290220516,bard,False,False,True
Barre,363.0,barre,Barre,33.80980878510379,-117.98381034849662,barre,True,True,True
Barwick P.t.,2070.0,barwick,Barwick P.T.,34.421217966055394,-119.80133317026456,barwick,False,False,True
Bassett,452.0,bassett,Bassett,34.04749361907675,-117.95514105551148,bassett,True,True,True
Basta,996.0,basta,Basta,33.8691828612384,-117.96020381310754,basta,True,True,True
Bayside,919.0,bayside,Bayside,33.656856695237245,-117.90677421154508,bayside,True,True,True
Beaumont,733.0,beaumont,Beaumont,33.93362502624713,-116.98362109716552,beaumont,True,True,True
Bedford,518.0,bedford,Bedford,34.062880472190464,-118.39930445924148,bedford,False,False,True
Belding,1709.0,belding,Belding,33.82977539561138,-116.51400567204634,belding,True,True,True
Belmont,825.0,belmont,Belmont,33.78118737176825,-118.14988916312744,belmont,True,True,True
Belvedere,397.0,belvedere,Belvedere,34.03650001397044,-118.1790586944638,belvedere,True,True,True
Belvedere P.t.,1969.0,belvedere,Belvedere P.T.,34.03737294459553,-118.17978155956828,belvedere,True,True,True
Bessemer P.t.,1297.0,bessemer,Bessemer P.T.,34.40840314814915,-116.72150157839668,bessemer,False,False,True
Bicknell,398.0,bicknell,Bicknell,34.03368102349242,-118.16247130242016,bicknell,True,True,True
Big Bend Bia,1848.0,big bend bia,Big Bend Bia,34.25930951807461,-114.16752638762966,big bend bia,True,True,True
Bigfoot P.t.,1289.0,bigfoot,Bigfoot P.T.,36.60088395546939,-118.73856106944936,bigfoot,False,False,True
Bird Springs P.t.,1306.0,bird springs,Bird Springs P.T.,35.54790360144478,-118.14249646180583,bird springs,False,False,True
Bixby,826.0,bixby,Bixby,33.77254515576724,-118.17070239713516,bixby,False,False,True
Black Meadows,1290.0,black meadows,Black Meadows,34.3487917918322,-114.19596505767748,black meadows,False,False,True
Bliss,560.0,bliss,Bliss,36.16629775969852,-119.20705393718964,bliss,True,True,True
Bloomington,1811.0,bloomington,Bloomington,34.04917000383533,-117.3985330021639,bloomington,True,True,True
Blue Cut P.t.,1291.0,blue cut,Blue Cut P.T.,34.30773098427744,-117.46851743847311,blue cut,False,False,True
Blue Ridge P.t.,1296.0,blue ridge,Blue Ridge P.T.,34.37737571780408,-117.69271041942166,blue ridge,False,False,True
Bluff Cove,539.0,bluff cove,Bluff Cove,33.77994268591449,-118.38755229948076,bluff cove,True,True,True
Blythe (Walc),228.0,blythe walc,Blythe (Walc),33.61169299611282,-114.6805210000251,blythe walc,False,False,True
Bolsa,921.0,bolsa,Bolsa,33.730408022185884,-118.03324151109152,bolsa,True,True,True
Borrego,995.0,borrego,Borrego,33.59768363722954,-117.74923154879204,borrego,True,True,True
Bovine,991.0,bovine,Bovine,33.85103372380987,-118.06390617540563,bovine,True,True,True
Boxwood,610.0,boxwood,Boxwood,36.12610225574932,-118.82140084606492,boxwood,True,True,True
Bradbury,440.0,bradbury,Bradbury,34.1341163981833,-117.98732609469344,bradbury,True,True,True
Brea,1028.0,brea,Brea,33.91929821622321,-117.8490431144892,brea,True,True,True
Brewster,829.0,brewster,Brewster,33.92072341848696,-118.18848926237656,brewster,True,True,True
Bridge,532.0,bridge,Bridge,33.880624437876826,-118.3259924983696,bridge,True,True,True
Brighton,493.0,brighton,Brighton,33.902310831667656,-118.31210985553204,brighton,True,True,True
Brookhurst,966.0,brookhurst,Brookhurst,33.73715948915509,-117.95580004349053,brookhurst,True,True,True
Brookings P.t.,1301.0,brookings,Brookings P.T.,34.233039630292566,-117.12977060041212,brookings,False,False,True
Brown P.t.,1303.0,brown,Brown P.T.,35.9797923321422,-116.2630220375144,brown,False,False,True
Browning,561.0,browning,Browning,35.7045473762974,-119.20353075858472,browning,True,True,True
Bryan,922.0,bryan,Bryan,33.73483199858305,-117.80116599692272,bryan,True,True,True
Bryman,1641.0,bryman,Bryman,34.68592987493426,-117.33817106269278,bryman,True,True,True
Bullis,878.0,bullis,Bullis,33.90027364027962,-118.20574187651508,bullis,True,True,True
Bunker,1817.0,bunker,Bunker,33.8283648304304,-117.21173996305129,bunker,True,True,True
Burnt Mill,772.0,burnt mill,Burnt Mill,34.23455600184966,-117.20177600149432,burnt mill,True,True,True
Cabazon,1642.0,cabazon,Cabazon,33.91393513181455,-116.78448895599544,cabazon,True,True,True
Cabrillo,993.0,cabrillo,Cabrillo,33.67169434144606,-117.84750781986958,cabrillo,True,True,True
Cady,1643.0,cady,Cady,34.8390113539395,-116.66239286066762,cady,True,True,True
Cajalco,1816.0,cajalco,Cajalco,33.85904200100633,-117.32549900292356,cajalco,True,True,True
Cal City 'A',1819.0,cal city a,Cal City 'A',35.1431029846686,-117.96986176529046,cal city a,False,False,True
Cal City 'B',1820.0,cal city b,Cal City 'B',35.1431029846686,-117.96986176529046,cal city b,False,False,True
Calamar P.t.,1334.0,calamar,Calamar P.T.,33.47177544989847,-117.16950200366703,calamar,False,False,True
Calden,869.0,calden,Calden,33.9564731732366,-118.23217062742631,calden,True,True,True
Calectric,1610.0,calectric,Calectric,34.09320376455966,-117.3168459956363,calectric,True,True,True
Camarillo,1012.0,camarillo,Camarillo,34.21987406168505,-119.0087515903353,camarillo,True,True,True
Camden,938.0,camden,Camden,33.71334293054773,-117.88328931162948,camden,True,True,True
Cameron,831.0,cameron,Cameron,33.8192358468031,-118.21711088356317,cameron,True,True,True
