loads_name,sub_id,loads_lat,loads_lon,loads_norm,attrs_name,attrs_lat,attrs_lon,attrs_norm,loads_in_basin,attrs_in_basin,names_agree,loads_attrs_dist_km
HALSEY,15224,38.95682089677347,-121.04286722342916,halsey,HALSEY,38.95682089677347,-121.04286722342916,halsey,True,True,True,0.0
SAN CARLOS,2418,37.49925681676064,-122.2433672056333,san carlos,SAN CARLOS,37.49925681676064,-122.2433672056333,san carlos,True,True,True,0.0
NEWMAN,16274,37.315811138560335,-121.01443366157086,newman,NEWMAN,37.315811138560335,-121.01443366157086,newman,True,True,True,0.0
IONE,16388,38.37370944252769,-120.9571666049228,ione,IONE,38.37370944252769,-120.9571666049228,ione,False,False,True,0.0
LAKEVILLE,4337,38.25024379525056,-122.58100117848136,lakeville,LAKEVILLE,38.25024379525056,-122.58100117848136,lakeville,True,True,True,0.0
VOLTA,10254,40.45943689773459,-121.8677559059613,volta,VOLTA,40.45943689773459,-121.8677559059613,volta,False,False,True,0.0
CARQUINEZ,4328,38.09076019525074,-122.24869737229972,carquinez,CARQUINEZ,38.09076019525074,-122.24869737229972,carquinez,True,True,True,0.0
CHARCA,25450,35.608124985119254,-119.32533697812512,charca,CHARCA,35.608124985119254,-119.32533697812512,charca,True,True,True,0.0
EUREKA A,19212,40.79388382264845,-124.18290357012602,eureka a,EUREKA A,40.79388382264845,-124.18290357012602,eureka a,False,False,True,0.0
HIGHWAY,4265,38.165934399172585,-122.25383771242235,highway,HIGHWAY,38.165934399172585,-122.25383771242235,highway,True,True,True,0.0
SPAULDING,15225,39.32583317195124,-120.643761373542,spaulding,SPAULDING,39.32583317195124,-120.643761373542,spaulding,False,False,True,0.0
DESCHUTES,10335,40.55543101923755,-122.23990905392132,deschutes,DESCHUTES,40.55543101923755,-122.23990905392132,deschutes,True,True,True,0.0
