util_name,util_norm,util_lat,util_lon,basin_name,basin_norm,basin_lat,basin_lon,dist_km,name_match
STEVENS ROAD,stevens road,42.468060877153526,-122.75824351709778,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,63.64132449489176,False
JEROME PRAIRIE,jerome prairie,42.38992989407856,-123.43108599388464,Seiad,seiad,41.84053309602203,-123.19196159609751,64.1952424182925,False
WHITE CITY,white city,42.42590839304557,-122.85939999670217,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,64.33584269821732,False
ROGUE RIVER,rogue river,42.42969807724759,-123.1711874092448,Seiad,seiad,41.84053309602203,-123.19196159609751,65.53454804503933,False
DOWELL,dowell,42.42105130387396,-123.36332148430736,Seiad,seiad,41.84053309602203,-123.19196159609751,66.07926622283733,False
PARK STREET,park street,42.42730366909371,-123.32086597120428,Seiad,seiad,41.84053309602203,-123.19196159609751,66.10605279563892,False
AGNESS AVE,agness ave,42.43176532816428,-123.29841614519276,Seiad,seiad,41.84053309602203,-123.19196159609751,66.3254338506305,False
GOLD HILL,gold hill,42.42859997981964,-123.04335581390966,Seiad,seiad,41.84053309602203,-123.19196159609751,66.52828045427782,False
WHETSTONE,whetstone,42.43125847431703,-122.90978880606544,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,66.67205178489834,False
TOLO,tolo,42.42067319709604,-122.96445692982915,Seiad,seiad,41.84053309602203,-123.19196159609751,67.18130386518419,False
FIELDER CREEK,fielder creek,42.44736146342387,-123.17355588486502,Seiad,seiad,41.84053309602203,-123.19196159609751,67.49329671941402,False
GRANTS PASS,grants pass,42.44722240418103,-123.2783325921324,Seiad,seiad,41.84053309602203,-123.19196159609751,67.83555945091723,False
CHILOQUIN MRKT,chiloquin mrkt,42.57768552260223,-121.87177464092176,Dorris,dorris,41.96684121703738,-121.9135761877594,68.00980982823641,False
EAGLE POINT HYDRO,eagle point hydro,42.51446001769176,-122.75700530895452,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,68.06546543792808,False
BEACON,beacon,42.45167766215685,-123.30739820837752,Seiad,seiad,41.84053309602203,-123.19196159609751,68.61933384343313,False
EASY VALLEY,easy valley,42.44458918158201,-123.36651857133552,Seiad,seiad,41.84053309602203,-123.19196159609751,68.69249275068006,False
CHILOQUIN,chiloquin,42.58594717530151,-121.84207867594344,Dorris,dorris,41.96684121703738,-121.9135761877594,69.09229639326404,False
FRALEY,fraley,42.4657256893487,-122.88076205453277,Hornbrook,hornbrook,41.89799074323568,-122.539962450731,69.09283687227875,False
CAVEMAN,caveman,42.458479892079104,-123.32475382675337,Seiad,seiad,41.84053309602203,-123.19196159609751,69.57912218140899,False
FORT KLAMATH STEP UP,fort klamath step up,42.59408939657296,-121.88615177549715,Dorris,dorris,41.96684121703738,-121.9135761877594,69.78329585149703,False
DODGE BRIDGE,dodge bridge,42.52494946264984,-122.84715228706672,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,72.88189143740554,False
MERLIN,merlin,42.51089425670519,-123.4130559868688,Seiad,seiad,41.84053309602203,-123.19196159609751,76.73497797723913,False
BULLARD,bullard,42.17814033024234,-120.35802998579275,Alturas,alturas,41.49986440367209,-120.53346705469008,76.8083503122919,False
MILE HI,mile hi,42.189124763568245,-120.36584229874715,Alturas,alturas,41.49986440367209,-120.53346705469008,77.88984931402686,False
LOST CREEK SY,lost creek sy,42.6737407106579,-122.67851481247692,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,81.74962389517765,False
TAKELMA,takelma,42.68265302859407,-122.67750202757112,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,82.66268963818813,False
PROSPECT 3,prospect 3,42.73048470565485,-122.4185823514694,Copco 1,copco 1,41.97986963624015,-122.33593870697112,83.74038259214916,False
PROSPECT 1,prospect 1,42.73069177358406,-122.5151279565868,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,84.76043910979486,False
PROSPECT 2,prospect 2,42.73122870281066,-122.513997829247,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,84.80568651540239,False
PROSPECT 4,prospect 4,42.73296781305675,-122.51503822656804,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,85.00957480795884,False
PROSPECT CNTRL,prospect cntrl,42.73384385576795,-122.51588322863668,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,85.1162223412755,False
RED BLANKET,red blanket,42.75193757472057,-122.47356842943636,Copco 1,copco 1,41.97986963624015,-122.33593870697112,86.59143304563196,False
GLENDALE,glendale,42.74717744217109,-123.41000144361162,Seiad,seiad,41.84053309602203,-123.19196159609751,102.3968745748254,False
TILLER,tiller,42.93172722669645,-122.9485633600024,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,116.58498774999296,False
HANNA TAP,hanna tap,42.91611156728261,-123.26468552826988,Seiad,seiad,41.84053309602203,-123.19196159609751,119.74794283389389,False
NICKEL MOUNTAIN,nickel mountain,42.931191303089335,-123.41020445388266,Patrick'S Creek,patrick s creek,41.8814008700706,-123.8646664919014,122.54938879038197,False
CANYONVILLE,canyonville,42.952619607042,-123.26736899904276,Seiad,seiad,41.84053309602203,-123.19196159609751,123.81330265791698,False
RIDDLE VENEER,riddle veneer,42.94685772960526,-123.37484152442669,Seiad,seiad,41.84053309602203,-123.19196159609751,123.93092406028397,False
RIDDLE,riddle,42.96704323594015,-123.3538062377638,Seiad,seiad,41.84053309602203,-123.19196159609751,125.96503664624395,False
DAYS CREEK,days creek,42.97349965902552,-123.19092311486423,Seiad,seiad,41.84053309602203,-123.19196159609751,125.98016271331954,False
MYRTLE POINT,myrtle point,43.061439253259294,-124.12357348597313,Morrison Creek,morrison creek,41.92760145182565,-124.14144853284678,126.08552786548418,False
MYRTLE CREEK,myrtle creek,43.02719376847547,-123.29175959659813,Seiad,seiad,41.84053309602203,-123.19196159609751,132.20455617873105,False
BANDON TIE_BPA,bandon tie bpa,43.10678732078823,-124.3972183282458,Morrison Creek,morrison creek,41.92760145182565,-124.14144853284678,132.78439785851734,False
