OBJECTID,Name,Sub_Type,longitude,latitude
370,FRUIT HEIGHTS,Distribution,-111.90103007687036,41.03193505488015
371,FRY,Transmission,-123.03658239090323,44.58928530775935
372,GADSBY,Transmission,-111.93039650027656,40.76768489482523
373,GARDEN CITY,Distribution,-111.40632217884136,41.94697249919399
374,GARDEN VALLEY,Distribution,-123.38979656498728,43.23585762141676
375,GARKANE SW STA,Transmission,-111.96875427185434,38.83190163491617
376,GARLAND,Distribution,-108.58425450622332,44.79687718998812
378,GATEWAY,Distribution,-113.43205947868918,37.159287195385865
379,GENTRY MNT,Distribution,-111.00082530872156,39.47753697836086
380,GEORGETOWN,Distribution,-111.38713003122396,42.471311961168176
381,GLEN ROCK/ ROLLING HILLS,Transmission,-105.83588402752464,43.02173027244152
382,GLENDALE,Distribution,-123.41000144361162,42.74717744217109
383,GLENDO-AUTO,Transmission,-104.95792783850924,42.46921393698835
384,GLENEDEN,Distribution,-124.03201030752732,44.88264400595549
385,GLIDE,Distribution,-123.0984809861169,43.29710313518528
386,GLIDE TAP SY,Transmission,-123.10458505733708,43.29500917933607
387,GOGGIN METERING STA,Transmission,-112.08363594539478,40.80663982555382
388,GOLD HILL,Distribution,-123.04335581390966,42.42859997981964
389,GOLD RUSH,Distribution,-112.16089369818104,41.603207536900285
390,GOLD TERRA,Distribution,-110.7391442285045,39.62014521268828
391,GOOSENECKS,Distribution,-109.86484281905284,37.15026023611082
392,GORDON AVE,Distribution,-111.95735542345,41.07415809593597
393,GORDON HOLLOW,Distribution,-120.68768592689068,45.515891258725546
394,GOSHEN,Transmission,-112.12123918872774,43.30751331336413
395,GOSHEN_ID,Distribution,-112.12091084011834,43.30983407341598
396,GOSHEN_OR,Distribution,-123.01041067039644,43.98576150333756
397,GOSHEN_UT,Distribution,-111.9007693201979,39.94178230265445
398,GRACE,Transmission,-111.79348393814222,42.53611760511097
399,GRACE CITY,Distribution,-111.74381737516568,42.5762399403323
400,GRANDVIEW,Distribution,-119.9058742200655,46.25908082553715
401,GRANDVIEW SY,Transmission,-119.87475999761158,46.30320106116757
402,GRANGER,Distribution,-111.95862310891096,40.69268098435359
403,GRANITE SY,Transmission,-111.7819562982756,40.61915033623513
404,GRANT ST,Distribution,-123.27967995456582,44.579741539064464
405,GRANTS PASS,Transmission,-123.2783325921324,42.44722240418103
406,GRANTSVILLE,Distribution,-112.47781435465006,40.60088653205956
407,GRAPHITE,Transmission,-112.05945714004072,40.65371032886126
408,GRASS CREEK,Trans and Distrib,-108.4865563527149,43.91614346046996
409,GRAVEL PIT,Distribution,-111.82110559161988,39.85291255429443
410,GREAT DIVIDE,Distribution,-107.87518216644246,42.20609285306237
411,GREEN,Distribution,-123.37222274223568,43.15454289236344
412,GREEN CANYON,Transmission,-111.78429364727124,41.76705149632715
413,GREEN MOUNTAIN (FUTURE),Transmission,-122.44800925574876,45.66203800338609
414,GREEN SPRINGS,Transmission,-122.5477873442115,42.12085432362628
416,GREYBULL,Distribution,-108.05592829595328,44.48705566780307
417,GRIFFIN CREEK,Distribution,-122.91086891431192,42.30092370318828
418,GRINDING,Transmission,-112.0992161289515,40.584888929724535
419,GROMORE,Distribution,-120.67873763497072,46.59397366051925
420,GROW,Distribution,-112.00528771870196,40.7835420190012
421,GSL,Distribution,-112.23529360731628,41.26867995580158
422,GUNNISON,Distribution,-111.81895513801742,39.15048599459615
423,HALE,Trans and Distrib,-111.65650738631524,40.31142964741474
424,HALSEY SY,Transmission,-123.11319543628484,44.37837430594165
425,HAMAKER,Distribution,-121.93576145535324,42.1299966619637
427,HAMER,Distribution,-112.27231067836678,43.89930654283995
428,HAMMER,Distribution,-111.85533069966564,40.63445989148895
429,HANNA,Distribution,-106.5724205020964,41.87034128261392
430,HANNA TAP,Transmission,-123.26468552826988,42.91611156728261
432,HARRISBURG,Distribution,-123.16998424348252,44.27421785835117
433,HARRISON,Transmission,-122.65719552613194,45.50894697125714
434,HART SY,Transmission,-122.36015526512854,41.71161255451577
435,HARVEST (FUTURE),Transmission,-111.8942351203483,40.518400591330334
436,HATCH,Transmission,-109.30797865934233,38.16005007514487
437,HAVASU,Distribution,-109.3465903918374,37.464750276373685
438,HAYES,Distribution,-112.12243613904656,43.5535928467213
