sap_substation_name,lcr_area,city_served,division,owner,n_city_rows,match_type,match_score,pge_name,pge_norm_name,pge_voltage_kv,pge_lat,pge_lon
CALERO SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1,unmatched,0.0,,,,,
CALFLAX SUB,Greater Fresno,Huron,FRESNO,nonPGE,1,exact,100.0,CALFLAX,CALFLAX,12.0,36.28387686148028,-120.12208024379596
CALIFORNIA AVE SUB,Greater Fresno,Fresno,FRESNO,PGE,1,exact,100.0,CALIFORNIA AVE,CALIFORNIA AVE,12.0,36.71976722854816,-119.76422834299458
CALIFORNIA DAIRIES (DANISH CREAMERY) SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
CALISTOGA SUB,North Coast/North Bay,Calistoga,NORTH BAY,PGE,1,exact,100.0,CALISTOGA,CALISTOGA,12.0,38.59257954214048,-122.57827051121993
CALPEAK PANOCHE IPP SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
CALPELLA SUB,North Coast/North Bay,Calpella,NORTH COAST,PGE,1,exact,100.0,CALPELLA,CALPELLA,12.0,39.19727795800626,-123.1925392202005
CALVO SUB,Stockton,Tracy,STOCKTON,PGE,1,unmatched,0.0,,,,,
CAMANCHE PP SUB,Stockton,Lockeford,STOCKTON,nonPGE,1,unmatched,0.0,,,,,
CAMDEN SUB,Greater Fresno,Lanare; Laton; Riverdale,FRESNO,PGE,3,exact,100.0,CAMDEN,CAMDEN,12.0,36.44568692380856,-119.79886678890834
CAMP EVERS SUB,Greater Bay Area,Santa Cruz,CENTRAL COAST,PGE,1,exact,100.0,CAMP EVERS,CAMP EVERS,21.0,37.04175134982072,-122.02549688702273
CAMP FAR WEST,Sierra,Lincoln,SIERRA,nonPGE,1,unmatched,0.0,,,,,
CAMPHORA JCT,Greater Bay Area,,CENTRAL COAST,PGE,1,unmatched,0.0,,,,,
CAMPHORA SUB,Greater Bay Area,Soledad,CENTRAL COAST,PGE,1,unmatched,0.0,,,,,
CANAL SUB,Greater Fresno,Los Banos,YOSEMITE,PGE,1,exact,100.0,CANAL,CANAL,12.0,37.06637138757264,-120.83597188351864
CANANDAIGUA WINERY SUB,Greater Fresno,Madera County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
CANDLEWICK DIXIE YARN SUB,Greater Fresno,Lemoore,FRESNO,nonPGE,1,unmatched,0.0,,,,,
CANTUA SUB,Greater Fresno,Cantua Creek,FRESNO,PGE,1,exact,100.0,CANTUA,CANTUA,12.0,36.429254389544624,-120.3414752851558
